prompt,prompt_id,prefix,IO,connector,S1,action1,S2,action2,to,length,wrong_token,correct_token,S1_token,S2_token,IO_token,label,split,top_answer,top_answer_prob,correct_prob,wrong_prob
학교에서 현우와 우진가 이야기를 나누고 있었습니다. 연우가 사과를 꺼내어,5,1,3,5,6,8,17,19,27,28, 지, 가, 지, 지, 가, 가,ablation, 주,0.1094,0.0018,0.0021
카페에서 시우와 건우가 쇼핑을 했습니다. 정우가 새로 산 연필을 포장해서,433,1,4,6,7,9,19,21,30,31, 지, 예, 지, 지, 예, 예,ablation, 시,0.2422,0.0005,0.0083
해변에서 성민과 건우가 공부를 하고 있었습니다. 갑자기 연우가 선물을 집어 들고는,292,1,4,6,7,9,21,23,30,31, 하, 수, 하, 하, 수, 수,ablation," """,0.1699,0.0009,0.0131
"어느 화창한 날, 공원에서 유진과 현준가 산책을 했습니다. 민재가 바닥에서 우산을 주워서",317,1,13,15,16,18,27,30,39,40, 지, �, 지, 지, �, �,ablation, 현,0.0859,0.0,0.0103
공원에 영희와 동현가 방문했습니다. 연우는 기념품으로 산 연필을 조심스럽게,913,1,4,6,7,9,13,15,29,30, 도, 서, 도, 도, 서, 서,ablation, 들,0.0928,0.0003,0.0007
학교에 소율과 하린가 앉아있었습니다. 채원는 자신이 아끼는 책을 챙겨서,500,1,3,5,6,8,15,19,31,32, �, 다, �, �, 다, 다,ablation, �,0.0469,0.0046,0.0
백화점에 지안과 유진가 방문했습니다. 소율는 기념품으로 산 연필을 조심스럽게,983,1,5,7,8,10,14,16,30,31, 도, 예, 도, 도, 예, 예,ablation, 들,0.1016,0.0002,0.0006
백화점에서 지민과 승민가 공부를 하고 있었습니다. 갑자기 연우가 연필을 집어 들고는,283,1,5,7,8,11,23,25,33,34, 도, �, 도, 도, �, �,ablation," """,0.167,0.0,0.0035
해변에서 다은과 유진가 이야기를 나누고 있었습니다. 정우가 사과를 꺼내어,95,1,4,6,7,9,18,20,28,29, 지, 서, 지, 지, 서, 서,eval, 주,0.1309,0.0008,0.0019
도서관에 서현과 정우가 앉아있었습니다. 현준는 자신이 아끼는 지갑을 챙겨서,526,1,5,7,8,10,17,19,32,33, 하, 서, 하, 하, 서, 서,ablation, 정,0.0728,0.0413,0.006
식당에 성민과 수아가 앉아있었습니다. 현우는 자신이 아끼는 책을 챙겨서,540,1,4,6,7,9,16,18,30,31, 하, 재, 하, 하, 재, 재,ablation, �,0.1226,0.0008,0.002
조용한 학교에서 유진과 하린가 식사를 마쳤습니다. 정우가 가방에서 사과를 꺼내더니,705,1,8,10,11,13,21,23,35,36, 서, 상, 서, 서, 상, 상,ablation,",",0.2578,0.0019,0.0022
해변에 영희와 정훈가 함께 도착했습니다. 수아는 미리 준비한 공을 내밀며,191,1,4,6,7,9,15,17,26,27, 예, 하, 예, 예, 하, 하,eval, 영,0.0752,0.0035,0.0022
"어느 화창한 날, 카페에서 정훈과 동현가 산책을 했습니다. 선우가 바닥에서 연필을 주워서",333,1,14,16,17,19,28,30,39,40, 지, 수, 지, 지, 수, 수,ablation, 정,0.1069,0.0057,0.0099
학교에 영호와 가은가 함께 도착했습니다. 건우는 미리 준비한 선물을 내밀며,102,1,3,5,6,8,14,16,25,26, 도, 다, 도, 도, 다, 다,ablation, 영,0.1152,0.0039,0.0273
놀이터에서 영호와 상철가 쇼핑을 했습니다. 유진가 새로 산 책을 포장해서,470,1,5,7,8,10,20,22,30,31, 지, 다, 지, 지, 다, 다,ablation, 영,0.1133,0.0013,0.0028
병원에 연우와 태윤가 앉아있었습니다. 정우는 자신이 아끼는 책을 챙겨서,550,1,3,5,6,9,16,18,30,31, 도, �, 도, 도, �, �,ablation, �,0.0737,0.0,0.005
조용한 해변에서 성민과 소율가 식사를 마쳤습니다. 진우가 가방에서 공을 꺼내더니,791,1,7,9,10,12,20,22,33,34, 지, 영, 지, 지, 영, 영,ablation,",",0.2197,0.0014,0.0049
"어느 화창한 날, 공원에서 가은과 우진가 산책을 했습니다. 연우가 바닥에서 책을 주워서",310,1,13,15,16,18,27,29,37,38, 서, 지, 서, 서, 지, 지,ablation, �,0.1777,0.0078,0.0027
"어느 화창한 날, 백화점에서 상철과 동현가 산책을 했습니다. 태윤가 바닥에서 우산을 주워서",387,1,15,17,18,20,29,32,41,42, 시, �, 시, 시, �, �,ablation, �,0.0457,0.0,0.0029
해변에 영호와 정훈가 방문했습니다. 소율는 기념품으로 산 열쇠를 조심스럽게,999,1,4,6,7,9,13,15,29,30, 지, 다, 지, 지, 다, 다,circuit, 가져,0.1055,0.003,0.0161
해변에서 영희와 수아가 공부를 하고 있었습니다. 갑자기 태윤가 공을 집어 들고는,291,1,4,6,7,9,21,24,31,32, 지, �, 지, 지, �, �,ablation," """,0.248,0.0,0.0043
해변에 민지와 선우가 앉아있었습니다. 연우는 자신이 아끼는 선물을 챙겨서,592,1,4,7,8,10,17,19,31,32, 서, �, 서, 서, �, �,ablation, 선,0.1143,0.0,0.0024
병원에 상철과 수아가 앉아있었습니다. 선우는 자신이 아끼는 편지를 챙겨서,554,1,3,5,6,8,15,17,31,32, 하, 영, 하, 하, 영, 영,ablation, �,0.0815,0.0009,0.0063
백화점에서 지우와 현우가 쇼핑을 했습니다. 현준가 새로 산 공을 포장해서,481,1,5,7,8,10,20,22,30,31, 시, 서, 시, 시, 서, 서,ablation, 지,0.1982,0.0011,0.0032
놀이터에 연우와 승우가 앉아있었습니다. 정우는 자신이 아끼는 책을 챙겨서,570,1,5,7,8,11,18,20,32,33, 서, �, 서, 서, �, �,ablation, �,0.0503,0.0,0.0047
놀이터에서 재민과 민재가 이야기를 나누고 있었습니다. 진우가 사과를 꺼내어,75,1,5,7,8,11,20,22,30,31, 지, �, 지, 지, �, �,eval, 주,0.1904,0.0,0.0016
병원에 소율과 가은가 방문했습니다. 현준는 기념품으로 산 지갑을 조심스럽게,956,1,3,5,6,8,12,14,28,29, 지, 유, 지, 지, 유, 유,ablation, 들,0.1143,0.0005,0.0145
영화관에 다은과 유진가 방문했습니다. 예린는 기념품으로 산 책을 조심스럽게,960,1,5,7,8,10,14,16,29,30, 예, 서, 예, 예, 서, 서,ablation, 보,0.1406,0.0002,0.0002
조용한 도서관에서 서현과 지민가 식사를 마쳤습니다. 가은가 가방에서 사과를 꺼내더니,725,1,8,10,11,13,21,23,35,36, 서, 지, 서, 서, 지, 지,ablation,",",0.2578,0.0613,0.0396
백화점에서 영희와 재민가 놀고 있었습니다. 진우가 예쁜 공을 발견하고는,681,1,5,7,8,10,18,20,27,28, 하, 지, 하, 하, 지, 지,ablation, 재,0.0618,0.0033,0.0156
식당에 하준과 서윤가 앉아있었습니다. 정우는 자신이 아끼는 열쇠를 챙겨서,549,1,4,6,7,9,16,18,31,32, 지, 서, 지, 지, 서, 서,eval, �,0.1631,0.053,0.0126
학교에 지호와 지우가 방문했습니다. 소율는 기념품으로 산 연필을 조심스럽게,903,1,3,5,6,8,12,14,28,29, 서, 도, 서, 서, 도, 도,ablation, 들어,0.1162,0.0006,0.0003
학교에 지호와 영희가 앉아있었습니다. 가은는 자신이 아끼는 편지를 챙겨서,504,1,3,5,6,8,15,17,31,32, 지, 시, 지, 지, 시, 시,ablation, 지,0.0752,0.0026,0.0752
영화관에서 연우와 승우가 이야기를 나누고 있었습니다. 태윤가 책을 꺼내어,60,1,5,7,8,11,20,23,30,31, �, 상, �, �, 상, 상,ablation, �,0.1113,0.0026,0.0
"어느 화창한 날, 영화관에서 동현과 윤서가 산책을 했습니다. 하린가 바닥에서 공을 주워서",361,1,13,15,16,19,28,30,38,39, 다, �, 다, 다, �, �,circuit, �,0.085,0.0,0.0042
조용한 도서관에서 서연과 상철가 식사를 마쳤습니다. 유진가 가방에서 편지를 꺼내더니,724,1,8,10,11,13,21,23,36,37, 예, 주, 예, 예, 주, 주,eval,",",0.2734,0.0057,0.0007
"어느 화창한 날, 공원에서 지우와 지원가 산책을 했습니다. 태윤가 바닥에서 지갑을 주워서",316,1,13,15,16,17,26,29,38,39, 주, 서, 주, 주, 서, 서,circuit, 지,0.0952,0.0016,0.0177
병원에 가은과 현우가 함께 도착했습니다. 승우는 미리 준비한 지갑을 내밀며,156,1,3,5,6,8,14,17,27,28, �, 동, �, �, 동, 동,ablation, 현,0.1855,0.0014,0.0
식당에서 서연과 수진가 이야기를 나누고 있었습니다. 재민가 연필을 꺼내어,43,1,4,6,7,9,18,20,28,29, 지, 하, 지, 지, 하, 하,circuit, 수,0.0898,0.0014,0.0028
공원에서 민지와 재민가 이야기를 나누고 있었습니다. 수아가 책을 꺼내어,10,1,4,7,8,10,19,21,28,29, 주, �, 주, 주, �, �,eval, �,0.1167,0.0,0.0378
식당에서 동현과 건우가 게임을 했습니다. 벌칙으로 우진가 선물을 건네며,842,1,4,6,7,9,21,23,28,29, 지, 서, 지, 지, 서, 서,ablation,",",0.1953,0.0016,0.0041
영화관에 정훈과 소율가 함께 도착했습니다. 민재는 미리 준비한 연필을 내밀며,163,1,5,7,8,10,16,19,29,30, 서, �, 서, 서, �, �,ablation," """,0.103,0.0,0.0027
해변에 수아와 건우가 방문했습니다. 민재는 기념품으로 산 사과를 조심스럽게,995,1,4,6,7,9,13,16,30,31, 도, �, 도, 도, �, �,ablation, 가져,0.1348,0.0,0.0016
백화점에서 지민과 수아가 공부를 하고 있었습니다. 갑자기 진우가 선물을 집어 들고는,282,1,5,7,8,10,22,24,31,32, 도, 서, 도, 도, 서, 서,ablation," """,0.2129,0.0044,0.0042
공원에서 현우와 선우가 놀고 있었습니다. 민재가 예쁜 책을 발견하고는,610,1,4,6,7,9,17,20,27,28, 지, �, 지, 지, �, �,ablation," """,0.1226,0.0,0.0061
놀이터에서 현우와 건우가 쇼핑을 했습니다. 우진가 새로 산 우산을 포장해서,477,1,5,7,8,10,20,22,31,32, 서, 수, 서, 서, 수, 수,ablation, 건,0.126,0.0026,0.0004
학교에 서윤과 동현가 함께 도착했습니다. 우진는 미리 준비한 연필을 내밀며,103,1,3,5,6,8,14,16,26,27, 주, 지, 주, 주, 지, 지,ablation," """,0.1387,0.0019,0.0078
공원에 서윤과 하은가 함께 도착했습니다. 영호는 미리 준비한 장난감을 내밀며,118,1,4,6,7,9,15,17,28,29, 시, 지, 시, 시, 지, 지,ablation, 도,0.0527,0.0049,0.0012
해변에 동현과 성민가 앉아있었습니다. 유진는 자신이 아끼는 연필을 챙겨서,593,1,4,6,7,9,16,18,31,32, 지, 수, 지, 지, 수, 수,ablation, 그,0.0576,0.0054,0.0121
"어느 화창한 날, 놀이터에서 지안과 영호가 산책을 했습니다. 진우가 바닥에서 사과를 주워서",375,1,16,18,19,21,30,32,41,42, 도, 하, 도, 도, 하, 하,ablation, 지,0.1309,0.0037,0.002
해변에서 정훈과 가은가 공부를 하고 있었습니다. 갑자기 연우가 열쇠를 집어 들고는,299,1,4,6,7,9,21,23,31,32, 주, 영, 주, 주, 영, 영,ablation," """,0.1602,0.0005,0.009
"어느 화창한 날, 놀이터에서 재민과 선우가 산책을 했습니다. 현준가 바닥에서 우산을 주워서",377,1,16,18,19,21,30,32,41,42, 지, 하, 지, 지, 하, 하,ablation, �,0.0806,0.0033,0.014
영화관에서 영호와 영희가 이야기를 나누고 있었습니다. 상철가 지갑을 꺼내어,66,1,5,7,8,10,19,21,29,30, 서, 수, 서, 서, 수, 수,ablation, 영,0.1172,0.0032,0.0017
식당에서 영희와 소율가 게임을 했습니다. 벌칙으로 정우가 편지를 건네며,844,1,4,6,7,9,21,23,30,31, 서, 영, 서, 서, 영, 영,ablation, 영,0.127,0.127,0.0019
공원에 유진과 건우가 앉아있었습니다. 연우는 자신이 아끼는 편지를 챙겨서,514,1,4,6,7,9,16,18,32,33, 지, 동, 지, 지, 동, 동,circuit, 공,0.1562,0.0024,0.0099
"어느 화창한 날, 놀이터에서 성민과 하린가 산책을 했습니다. 민재가 바닥에서 선물을 주워서",372,1,16,18,19,21,30,33,41,42, 다, �, 다, 다, �, �,eval, 하,0.1338,0.0,0.0036
백화점에서 예린과 정우가 게임을 했습니다. 벌칙으로 진우가 지갑을 건네며,886,1,5,7,8,10,22,24,30,31, 서, 지, 서, 서, 지, 지,ablation, 예,0.1128,0.0077,0.0016
학교에 지안과 가은가 방문했습니다. 건우는 기념품으로 산 공을 조심스럽게,901,1,3,5,6,8,12,14,27,28, 도, 예, 도, 도, 예, 예,ablation, 보,0.0801,0.0004,0.0011
해변에서 민지와 예린가 공부를 하고 있었습니다. 갑자기 건우가 지갑을 집어 들고는,296,1,4,7,8,10,22,24,32,33, 서, �, 서, 서, �, �,ablation," """,0.1045,0.0,0.0025
"어느 화창한 날, 카페에서 수아와 현우가 산책을 했습니다. 연우가 바닥에서 연필을 주워서",333,1,14,16,17,19,28,30,39,40, 지, 재, 지, 지, 재, 재,eval, 현,0.1299,0.0031,0.0065
공원에서 동현과 예린가 게임을 했습니다. 벌칙으로 하린가 열쇠를 건네며,819,1,4,6,7,9,21,23,29,30, 도, 예, 도, 도, 예, 예,ablation,",",0.1396,0.0293,0.0101
병원에 상철과 동현가 방문했습니다. 수아는 기념품으로 산 연필을 조심스럽게,953,1,3,5,6,8,12,14,28,29, 시, 지, 시, 시, 지, 지,ablation, 들어,0.1299,0.0101,0.0009
놀이터에서 동현과 성민가 놀고 있었습니다. 진우가 예쁜 책을 발견하고는,670,1,5,7,8,10,18,20,27,28, 서, 주, 서, 서, 주, 주,ablation, �,0.032,0.0035,0.0032
"어느 화창한 날, 식당에서 유진과 가은가 산책을 했습니다. 정우가 바닥에서 연필을 주워서",343,1,14,16,17,19,28,30,39,40, 지, 서, 지, 지, 서, 서,ablation, �,0.0825,0.0072,0.0112
놀이터에서 시우와 상철가 공부를 하고 있었습니다. 갑자기 하린가 책을 집어 들고는,270,1,5,7,8,10,22,24,31,32, 서, 도, 서, 서, 도, 도,ablation," """,0.0957,0.0084,0.003
"어느 화창한 날, 식당에서 다은과 성민가 산책을 했습니다. 유진가 바닥에서 우산을 주워서",347,1,14,16,17,19,28,30,39,40, 예, 주, 예, 예, 주, 주,ablation, 다,0.0698,0.0061,0.0005
놀이터에 영호와 유진가 앉아있었습니다. 연우는 자신이 아끼는 편지를 챙겨서,574,1,5,7,8,10,17,19,33,34, 시, 다, 시, 시, 다, 다,ablation, �,0.0481,0.0033,0.0016
식당에서 동현과 현우가 놀고 있었습니다. 현준가 예쁜 사과를 발견하고는,645,1,4,6,7,9,17,19,27,28, 지, 영, 지, 지, 영, 영,ablation," """,0.1167,0.0015,0.0024
영화관에서 유진과 수아가 게임을 했습니다. 벌칙으로 건우가 우산을 건네며,867,1,5,7,8,10,22,24,30,31, 영, 상, 영, 영, 상, 상,ablation,",",0.0747,0.0019,0.0138
도서관에서 동현과 성민가 이야기를 나누고 있었습니다. 선우가 공을 꺼내어,21,1,5,7,8,10,19,21,28,29, 서, 예, 서, 서, 예, 예,ablation, 동,0.051,0.0017,0.0061
영화관에 재민과 가은가 앉아있었습니다. 현우는 자신이 아끼는 사과를 챙겨서,565,1,5,7,8,10,17,19,32,33, 하, 수, 하, 하, 수, 수,ablation, 가,0.0461,0.002,0.0024
조용한 학교에서 정훈과 윤서가 식사를 마쳤습니다. 수아가 가방에서 열쇠를 꺼내더니,709,1,8,10,11,14,22,24,36,37, 지, �, 지, 지, �, �,ablation,",",0.2637,0.0,0.0074
"어느 화창한 날, 백화점에서 지우와 다은가 산책을 했습니다. 수진가 바닥에서 편지를 주워서",384,1,15,17,18,20,29,31,41,42, 서, 주, 서, 서, 주, 주,ablation, 보,0.0796,0.0079,0.0018
해변에서 지민과 유진가 공부를 하고 있었습니다. 갑자기 건우가 우산을 집어 들고는,297,1,4,6,7,9,21,23,31,32, 서, 하, 서, 서, 하, 하,ablation," """,0.2373,0.0111,0.0025
학교에 동현과 가은가 앉아있었습니다. 현우는 자신이 아끼는 편지를 챙겨서,504,1,3,5,6,8,15,17,31,32, 지, 상, 지, 지, 상, 상,ablation, �,0.0415,0.0013,0.0046
영화관에서 하준과 주원가 쇼핑을 했습니다. 선우가 새로 산 열쇠를 포장해서,469,1,5,7,8,10,20,22,31,32, 도, 시, 도, 도, 시, 시,eval, 주,0.1797,0.0031,0.0016
카페에 윤서와 현우가 앉아있었습니다. 진우는 자신이 아끼는 지갑을 챙겨서,536,1,4,7,8,10,17,19,32,33, 서, �, 서, 서, �, �,ablation, �,0.125,0.0,0.0066
백화점에서 서연과 유진가 이야기를 나누고 있었습니다. 정우가 우산을 꺼내어,87,1,5,7,8,10,19,21,29,30, 서, 지, 서, 서, 지, 지,eval, 서,0.0623,0.0058,0.0623
공원에서 정훈과 승민가 놀고 있었습니다. 선우가 예쁜 편지를 발견하고는,614,1,4,6,7,10,18,20,29,30, 예, �, 예, 예, �, �,eval," """,0.0669,0.0,0.0019
해변에 영희와 태윤가 함께 도착했습니다. 현준는 미리 준비한 장난감을 내밀며,198,1,4,6,7,10,16,18,29,30, �, 수, �, �, 수, 수,ablation, 영,0.0791,0.0029,0.0
카페에서 영호와 상철가 쇼핑을 했습니다. 예린가 새로 산 공을 포장해서,431,1,4,6,7,9,19,21,29,30, 지, 수, 지, 지, 수, 수,ablation, 영,0.1206,0.0027,0.0041
공원에서 지우와 수진가 공부를 하고 있었습니다. 갑자기 소율가 편지를 집어 들고는,214,1,4,6,7,9,21,23,32,33, 도, 서, 도, 도, 서, 서,ablation," """,0.0898,0.0033,0.0045
백화점에서 영호와 정훈가 공부를 하고 있었습니다. 갑자기 동현가 공을 집어 들고는,281,1,5,7,8,10,22,24,31,32, 서, 도, 서, 서, 도, 도,ablation," """,0.1846,0.0028,0.0023
조용한 영화관에서 소율과 연우가 식사를 마쳤습니다. 현준가 가방에서 편지를 꺼내더니,764,1,7,9,10,12,20,22,35,36, 하, 재, 하, 하, 재, 재,ablation,",",0.2617,0.0008,0.0017
놀이터에서 정우와 현준가 놀고 있었습니다. 진우가 예쁜 사과를 발견하고는,675,1,5,7,8,10,18,20,28,29, 소, 건, 소, 소, 건, 건,circuit," """,0.0481,0.002,0.0045
학교에 현우와 선우가 방문했습니다. 연우는 기념품으로 산 지갑을 조심스럽게,906,1,3,5,6,8,12,14,28,29, 지, 소, 지, 지, 소, 소,ablation, 보,0.1084,0.0006,0.0089
식당에 상철과 성민가 함께 도착했습니다. 현준는 미리 준비한 사과를 내밀며,145,1,4,6,7,9,15,17,27,28, 지, 서, 지, 지, 서, 서,eval," """,0.1299,0.0024,0.002
백화점에 정훈과 동현가 앉아있었습니다. 건우는 자신이 아끼는 열쇠를 챙겨서,589,1,5,7,8,10,17,19,32,33, 예, 다, 예, 예, 다, 다,ablation, �,0.0669,0.0024,0.0012
영화관에서 정훈과 동현가 이야기를 나누고 있었습니다. 하린가 연필을 꺼내어,63,1,5,7,8,10,19,21,29,30, 지, 예, 지, 지, 예, 예,eval, 그,0.0762,0.0024,0.0052
카페에서 서현과 하은가 놀고 있었습니다. 성민가 예쁜 선물을 발견하고는,632,1,4,6,7,9,17,19,26,27, 주, 지, 주, 주, 지, 지,eval, 하,0.1147,0.0045,0.0019
"어느 화창한 날, 도서관에서 가은과 우진가 산책을 했습니다. 정우가 바닥에서 책을 주워서",320,1,14,16,17,19,28,30,38,39, 지, 성, 지, 지, 성, 성,ablation, 우,0.105,0.0003,0.0104
학교에서 서현과 성민가 쇼핑을 했습니다. 연우가 새로 산 연필을 포장해서,403,1,3,5,6,8,18,20,29,30, 예, 하, 예, 예, 하, 하,circuit, 서,0.0569,0.0028,0.0007
"어느 화창한 날, 백화점에서 성민과 예린가 산책을 했습니다. 우진가 바닥에서 열쇠를 주워서",389,1,15,17,18,20,29,31,40,41, 서, 하, 서, 서, 하, 하,ablation, 집,0.063,0.0024,0.0023
"어느 화창한 날, 해변에서 지원과 태윤가 산책을 했습니다. 진우가 바닥에서 우산을 주워서",397,1,13,14,15,18,27,29,38,39, 서, 하, 서, 서, 하, 하,ablation, �,0.1426,0.0052,0.0023
도서관에 동현과 현우가 함께 도착했습니다. 선우는 미리 준비한 열쇠를 내밀며,129,1,5,7,8,10,16,18,28,29, 서, 상, 서, 서, 상, 상,ablation," """,0.0684,0.0005,0.0056
학교에서 주원과 지호가 이야기를 나누고 있었습니다. 수아가 연필을 꺼내어,3,1,3,5,6,8,17,19,27,28, 도, 시, 도, 도, 시, 시,ablation, 주,0.1011,0.0022,0.0031
공원에 영희와 재민가 방문했습니다. 정우는 기념품으로 산 공을 조심스럽게,911,1,4,6,7,9,13,15,28,29, 지, 하, 지, 지, 하, 하,ablation, 가져,0.0864,0.0014,0.0092
도서관에서 하은과 수진가 공부를 하고 있었습니다. 갑자기 재민가 장난감을 집어 들고는,228,1,5,7,8,10,22,24,33,34, 도, 지, 도, 도, 지, 지,ablation," """,0.1123,0.0049,0.0564
식당에서 성민과 예린가 이야기를 나누고 있었습니다. 승우가 편지를 꺼내어,44,1,4,6,7,9,18,21,30,31, 영, �, 영, 영, �, �,ablation, 성,0.0845,0.0,0.0011
학교에서 건우와 연우가 공부를 하고 있었습니다. 갑자기 현준가 열쇠를 집어 들고는,209,1,3,5,6,8,20,22,30,31, 서, 영, 서, 서, 영, 영,ablation," """,0.127,0.0006,0.0016
조용한 식당에서 하은과 수아가 식사를 마쳤습니다. 연우가 가방에서 열쇠를 꺼내더니,749,1,8,10,11,13,21,23,35,36, 서, 지, 서, 서, 지, 지,circuit,",",0.2441,0.0069,0.0025
식당에 수진과 동현가 앉아있었습니다. 소율는 자신이 아끼는 우산을 챙겨서,547,1,4,6,7,9,16,18,31,32, 지, 서, 지, 지, 서, 서,ablation, �,0.1436,0.0063,0.0076
병원에서 하은과 선우가 쇼핑을 했습니다. 진우가 새로 산 우산을 포장해서,457,1,3,5,6,8,18,20,29,30, 예, 시, 예, 예, 시, 시,ablation, 하,0.1138,0.0029,0.0015
식당에 주원과 동현가 함께 도착했습니다. 하린는 미리 준비한 사과를 내밀며,145,1,4,6,7,9,15,17,27,28, 지, 서, 지, 지, 서, 서,circuit," """,0.1172,0.0028,0.0014
공원에서 상철과 유진가 놀고 있었습니다. 하린가 예쁜 공을 발견하고는,611,1,4,6,7,9,17,19,26,27, 예, 지, 예, 예, 지, 지,circuit, 그,0.0767,0.0049,0.0027
카페에서 하린과 우진가 이야기를 나누고 있었습니다. 선우가 사과를 꺼내어,35,1,4,6,7,9,18,20,28,29, 하, 서, 하, 하, 서, 서,circuit, 하,0.0981,0.0016,0.0981
학교에 유진과 연우가 함께 도착했습니다. 현준는 미리 준비한 연필을 내밀며,103,1,3,5,6,8,14,16,26,27, 시, 지, 시, 시, 지, 지,ablation," """,0.1226,0.0025,0.0007
영화관에 철수와 성민가 함께 도착했습니다. 정우는 미리 준비한 장난감을 내밀며,168,1,5,8,9,11,17,19,30,31, 주, �, 주, 주, �, �,ablation," """,0.0869,0.0,0.0046
병원에서 지우와 하은가 이야기를 나누고 있었습니다. 연우가 선물을 꺼내어,52,1,3,5,6,8,17,19,26,27, 시, 주, 시, 시, 주, 주,ablation, 주,0.0991,0.0991,0.0052
공원에서 상철과 건우가 게임을 했습니다. 벌칙으로 태윤가 책을 건네며,810,1,4,6,7,9,21,24,29,30, 주, �, 주, 주, �, �,ablation,",",0.1338,0.0,0.0034
식당에서 서현과 영희가 쇼핑을 했습니다. 정우가 새로 산 장난감을 포장해서,448,1,4,6,7,9,19,21,31,32, 예, 지, 예, 예, 지, 지,circuit, 영,0.1465,0.0042,0.0006
도서관에 철수와 지원가 방문했습니다. 연우는 기념품으로 산 연필을 조심스럽게,923,1,5,8,9,10,14,16,30,31, 지, 다, 지, 지, 다, 다,ablation, 받,0.104,0.0036,0.0081
카페에서 하준과 다은가 게임을 했습니다. 벌칙으로 예린가 장난감을 건네며,838,1,4,6,7,9,21,23,30,31, 서, 도, 서, 서, 도, 도,ablation,",",0.105,0.0072,0.0012
공원에서 지안과 상철가 게임을 했습니다. 벌칙으로 선우가 책을 건네며,810,1,4,6,7,9,21,23,28,29, 서, 주, 서, 서, 주, 주,ablation, 지,0.3008,0.0036,0.0012
영화관에 다은과 가은가 함께 도착했습니다. 현준는 미리 준비한 공을 내밀며,161,1,5,7,8,10,16,18,27,28, 예, 하, 예, 예, 하, 하,eval," """,0.0515,0.0026,0.0029
공원에 민지와 동현가 방문했습니다. 가은는 기념품으로 산 지갑을 조심스럽게,916,1,4,7,8,10,14,16,30,31, �, 도, �, �, 도, 도,ablation, 들,0.1445,0.0004,0.0
백화점에 상철과 수아가 앉아있었습니다. 승우는 자신이 아끼는 연필을 챙겨서,583,1,5,7,8,10,17,20,33,34, 서, �, 서, 서, �, �,ablation, �,0.064,0.0,0.0087
해변에서 다은과 우진가 공부를 하고 있었습니다. 갑자기 현준가 연필을 집어 들고는,293,1,4,6,7,9,21,23,31,32, 주, 서, 주, 주, 서, 서,circuit," """,0.1328,0.0028,0.0038
놀이터에서 서연과 하은가 이야기를 나누고 있었습니다. 수진가 공을 꺼내어,71,1,5,7,8,10,19,21,28,29, 예, 주, 예, 예, 주, 주,ablation, �,0.0417,0.0369,0.001
백화점에 재민과 윤서가 방문했습니다. 하린는 기념품으로 산 장난감을 조심스럽게,988,1,5,7,8,11,15,17,32,33, 주, �, 주, 주, �, �,ablation, 보,0.1182,0.0,0.0132
학교에 지우와 상철가 앉아있었습니다. 가은는 자신이 아끼는 지갑을 챙겨서,506,1,3,5,6,8,15,17,30,31, 주, 서, 주, 주, 서, 서,ablation, 지,0.2676,0.0052,0.0125
