prompt,prompt_id,prefix,IO,connector,S1,action1,S2,action2,to,length,wrong_token,correct_token,S1_token,S2_token,IO_token,label,split,top_answer,top_answer_prob,correct_prob,wrong_prob
병원에 영호와 하은가 앉아있었습니다. 하은는 자신이 아끼는 편지를 챙겨서,554,1,3,5,6,8,15,17,31,32, 하, 영, 하, 하, 영, 영,ablation, 가져,0.0762,0.0762,0.0038
백화점에서 서윤과 시우가 쇼핑을 했습니다. 시우가 새로 산 공을 포장해서,481,1,5,7,8,10,20,22,30,31, 시, 서, 시, 시, 서, 서,ablation, �,0.1387,0.0156,0.0014
놀이터에 승민과 서현가 앉아있었습니다. 서현는 자신이 아끼는 책을 챙겨서,570,1,5,8,9,11,18,20,32,33, 서, �, 서, 서, �, �,ablation, �,0.1416,0.1416,0.0008
놀이터에서 민지와 지훈가 이야기를 나누고 있었습니다. 지훈가 사과를 꺼내어,75,1,5,8,9,11,20,22,30,31, 지, �, 지, 지, �, �,eval, �,0.2373,0.2373,0.0056
병원에 유진과 지훈가 방문했습니다. 지훈는 기념품으로 산 지갑을 조심스럽게,956,1,3,5,6,8,12,14,28,29, 지, 유, 지, 지, 유, 유,ablation, 받,0.1133,0.0005,0.0503
영화관에 서연과 예준가 방문했습니다. 예준는 기념품으로 산 책을 조심스럽게,960,1,5,7,8,10,14,16,29,30, 예, 서, 예, 예, 서, 서,ablation, 들,0.2168,0.0012,0.0012
조용한 도서관에서 지우와 서윤가 식사를 마쳤습니다. 서윤가 가방에서 사과를 꺼내더니,725,1,8,10,11,13,21,23,35,36, 서, 지, 서, 서, 지, 지,ablation, 지,0.1777,0.1777,0.0089
백화점에서 지안과 하준가 놀고 있었습니다. 하준가 예쁜 공을 발견하고는,681,1,5,7,8,10,18,20,27,28, 하, 지, 하, 하, 지, 지,ablation, 공,0.0752,0.0148,0.009
식당에 서준과 지훈가 앉아있었습니다. 지훈는 자신이 아끼는 열쇠를 챙겨서,549,1,4,6,7,9,16,18,31,32, 지, 서, 지, 지, 서, 서,eval, �,0.0378,0.0277,0.0178
학교에 도윤과 서준가 방문했습니다. 서준는 기념품으로 산 연필을 조심스럽게,903,1,3,5,6,8,12,14,28,29, 서, 도, 서, 서, 도, 도,ablation, 들,0.1484,0.0005,0.0005
학교에 시우와 지훈가 앉아있었습니다. 지훈는 자신이 아끼는 편지를 챙겨서,504,1,3,5,6,8,15,17,31,32, 지, 시, 지, 지, 시, 시,ablation, 시,0.248,0.248,0.017
영화관에서 상철과 은지가 이야기를 나누고 있었습니다. 은지가 책을 꺼내어,60,1,5,7,8,11,20,23,30,31, �, 상, �, �, 상, 상,ablation, �,0.2891,0.0391,0.2891
"어느 화창한 날, 영화관에서 민지와 다은가 산책을 했습니다. 다은가 바닥에서 공을 주워서",361,1,13,16,17,19,28,30,38,39, 다, �, 다, 다, �, �,circuit, �,0.21,0.21,0.0082
조용한 도서관에서 주원과 예준가 식사를 마쳤습니다. 예준가 가방에서 편지를 꺼내더니,724,1,8,10,11,13,21,23,36,37, 예, 주, 예, 예, 주, 주,eval, 주,0.2266,0.2266,0.0112
"어느 화창한 날, 공원에서 서윤과 주원가 산책을 했습니다. 주원가 바닥에서 지갑을 주워서",316,1,13,15,16,18,27,29,38,39, 주, 서, 주, 주, 서, 서,circuit, 주,0.6562,0.0145,0.6562
병원에 동현과 은지가 함께 도착했습니다. 은지는 미리 준비한 지갑을 내밀며,156,1,3,5,6,9,6,9,27,28, �, 동, �, �, 동, 동,ablation," """,0.1514,0.0669,0.0
식당에서 하준과 지훈가 이야기를 나누고 있었습니다. 지훈가 연필을 꺼내어,43,1,4,6,7,9,18,20,28,29, 지, 하, 지, 지, 하, 하,circuit, 하,0.1006,0.1006,0.0082
공원에서 철수와 주원가 이야기를 나누고 있었습니다. 주원가 책을 꺼내어,10,1,4,7,8,10,19,21,28,29, 주, �, 주, 주, �, �,eval, 보,0.2236,0.0,0.0874
식당에서 서준과 지훈가 게임을 했습니다. 벌칙으로 지훈가 선물을 건네며,842,1,4,6,7,9,21,23,28,29, 지, 서, 지, 지, 서, 서,ablation," """,0.0361,0.0249,0.0361
영화관에 은지와 서현가 함께 도착했습니다. 서현는 미리 준비한 연필을 내밀며,163,1,5,8,9,11,17,19,29,30, 서, �, 서, 서, �, �,ablation," """,0.1934,0.0,0.0052
해변에 윤서와 도윤가 방문했습니다. 도윤는 기념품으로 산 사과를 조심스럽게,995,1,4,7,8,10,14,16,30,31, 도, �, 도, 도, �, �,ablation, 들,0.1797,0.0,0.0007
백화점에서 서현과 도윤가 공부를 하고 있었습니다. 갑자기 도윤가 선물을 집어 들고는,282,1,5,7,8,10,22,24,31,32, 도, 서, 도, 도, 서, 서,ablation, 서,0.0938,0.0938,0.0304
공원에서 철수와 지안가 놀고 있었습니다. 지안가 예쁜 책을 발견하고는,610,1,4,7,8,10,18,20,27,28, 지, �, 지, 지, �, �,ablation, �,0.0625,0.0625,0.0245
놀이터에서 수진과 서준가 쇼핑을 했습니다. 서준가 새로 산 우산을 포장해서,477,1,5,7,8,10,20,22,31,32, 서, 수, 서, 서, 수, 수,ablation, 가져,0.1138,0.0238,0.0021
학교에 지호와 주원가 함께 도착했습니다. 주원는 미리 준비한 연필을 내밀며,103,1,3,5,6,8,14,16,26,27, 주, 지, 주, 주, 지, 지,ablation," """,0.1235,0.1025,0.0101
공원에 지안과 시우가 함께 도착했습니다. 시우는 미리 준비한 장난감을 내밀며,118,1,4,6,7,9,15,17,28,29, 시, 지, 시, 시, 지, 지,ablation, 지,0.3398,0.3398,0.0096
해변에 수진과 지안가 앉아있었습니다. 지안는 자신이 아끼는 연필을 챙겨서,593,1,4,6,7,9,16,18,31,32, 지, 수, 지, 지, 수, 수,ablation, 수,0.0581,0.0581,0.0129
"어느 화창한 날, 놀이터에서 하준과 도윤가 산책을 했습니다. 도윤가 바닥에서 사과를 주워서",375,1,16,18,19,21,30,32,41,42, 도, 하, 도, 도, 하, 하,ablation, �,0.4336,0.0148,0.0042
해변에서 영호와 주원가 공부를 하고 있었습니다. 갑자기 주원가 열쇠를 집어 들고는,299,1,4,6,7,9,21,23,31,32, 주, 영, 주, 주, 영, 영,ablation, �,0.0815,0.0092,0.0265
"어느 화창한 날, 놀이터에서 하은과 지우가 산책을 했습니다. 지우가 바닥에서 우산을 주워서",377,1,16,18,19,21,30,32,41,42, 지, 하, 지, 지, 하, 하,ablation, 하,0.1016,0.1016,0.0618
영화관에서 수진과 서현가 이야기를 나누고 있었습니다. 서현가 지갑을 꺼내어,66,1,5,7,8,10,19,21,29,30, 서, 수, 서, 서, 수, 수,ablation, 수,0.1445,0.1445,0.0063
식당에서 영호와 서현가 게임을 했습니다. 벌칙으로 서현가 편지를 건네며,844,1,4,6,7,9,21,23,30,31, 서, 영, 서, 서, 영, 영,ablation, 영,0.1299,0.1299,0.0176
공원에 동현과 지훈가 앉아있었습니다. 지훈는 자신이 아끼는 편지를 챙겨서,514,1,4,6,7,9,16,18,32,33, 지, 동, 지, 지, 동, 동,circuit, 가져,0.1279,0.0391,0.0098
"어느 화창한 날, 놀이터에서 철수와 다은가 산책을 했습니다. 다은가 바닥에서 선물을 주워서",372,1,16,19,20,22,31,33,41,42, 다, �, 다, 다, �, �,eval, �,0.1069,0.1069,0.0047
백화점에서 지우와 서윤가 게임을 했습니다. 벌칙으로 서윤가 지갑을 건네며,886,1,5,7,8,10,22,24,30,31, 서, 지, 서, 서, 지, 지,ablation, 지,0.1904,0.1904,0.0398
학교에 예준과 도윤가 방문했습니다. 도윤는 기념품으로 산 공을 조심스럽게,901,1,3,5,6,8,12,14,27,28, 도, 예, 도, 도, 예, 예,ablation, 들,0.1167,0.0055,0.0011
해변에서 은지와 서현가 공부를 하고 있었습니다. 갑자기 서현가 지갑을 집어 들고는,296,1,4,7,8,10,22,24,32,33, 서, �, 서, 서, �, �,ablation, �,0.167,0.167,0.0107
"어느 화창한 날, 카페에서 재민과 지안가 산책을 했습니다. 지안가 바닥에서 연필을 주워서",333,1,14,16,17,19,28,30,39,40, 지, 재, 지, 지, 재, 재,eval, 지,0.103,0.0708,0.103
공원에서 예준과 도윤가 게임을 했습니다. 벌칙으로 도윤가 열쇠를 건네며,819,1,4,6,7,9,21,23,29,30, 도, 예, 도, 도, 예, 예,ablation, 도,0.1328,0.0552,0.1328
병원에 지호와 시우가 방문했습니다. 시우는 기념품으로 산 연필을 조심스럽게,953,1,3,5,6,8,12,14,28,29, 시, 지, 시, 시, 지, 지,ablation, 들,0.1982,0.0442,0.0004
놀이터에서 주원과 서준가 놀고 있었습니다. 서준가 예쁜 책을 발견하고는,670,1,5,7,8,10,18,20,27,28, 서, 주, 서, 서, 주, 주,ablation, �,0.103,0.0457,0.0229
"어느 화창한 날, 식당에서 서윤과 지훈가 산책을 했습니다. 지훈가 바닥에서 연필을 주워서",343,1,14,16,17,19,28,30,39,40, 지, 서, 지, 지, 서, 서,ablation, 지,0.0669,0.0109,0.0669
놀이터에서 도윤과 서준가 공부를 하고 있었습니다. 갑자기 서준가 책을 집어 들고는,270,1,5,7,8,10,22,24,31,32, 서, 도, 서, 서, 도, 도,ablation," """,0.1455,0.0254,0.0044
"어느 화창한 날, 식당에서 주원과 예준가 산책을 했습니다. 예준가 바닥에서 우산을 주워서",347,1,14,16,17,19,28,30,39,40, 예, 주, 예, 예, 주, 주,ablation, 주,0.0933,0.0933,0.0044
놀이터에 다은과 시우가 앉아있었습니다. 시우는 자신이 아끼는 편지를 챙겨서,574,1,5,7,8,10,17,19,33,34, 시, 다, 시, 시, 다, 다,ablation, �,0.1172,0.0217,0.0043
식당에서 영희와 지호가 놀고 있었습니다. 지호가 예쁜 사과를 발견하고는,645,1,4,6,7,9,17,19,27,28, 지, 영, 지, 지, 영, 영,ablation, 영,0.2383,0.2383,0.0063
영화관에서 상철과 영희가 게임을 했습니다. 벌칙으로 영희가 우산을 건네며,867,1,5,7,8,10,22,24,30,31, 영, 상, 영, 영, 상, 상,ablation, 상,0.0991,0.0991,0.0322
도서관에서 예준과 서준가 이야기를 나누고 있었습니다. 서준가 공을 꺼내어,21,1,5,7,8,10,19,21,28,29, 서, 예, 서, 서, 예, 예,ablation, 보,0.2949,0.0579,0.0078
영화관에 수진과 하은가 앉아있었습니다. 하은는 자신이 아끼는 사과를 챙겨서,565,1,5,7,8,10,17,19,32,33, 하, 수, 하, 하, 수, 수,ablation, 수,0.2148,0.2148,0.0011
조용한 학교에서 은지와 지호가 식사를 마쳤습니다. 지호가 가방에서 열쇠를 꺼내더니,709,1,8,11,12,14,22,24,36,37, 지, �, 지, 지, �, �,ablation,",",0.1396,0.0,0.0147
"어느 화창한 날, 백화점에서 주원과 서준가 산책을 했습니다. 서준가 바닥에서 편지를 주워서",384,1,15,17,18,20,29,31,41,42, 서, 주, 서, 서, 주, 주,ablation, 보,0.2432,0.167,0.0137
해변에서 하은과 서윤가 공부를 하고 있었습니다. 갑자기 서윤가 우산을 집어 들고는,297,1,4,6,7,9,21,23,31,32, 서, 하, 서, 서, 하, 하,ablation, �,0.1465,0.012,0.0099
학교에 상철과 지호가 앉아있었습니다. 지호는 자신이 아끼는 편지를 챙겨서,504,1,3,5,6,8,15,17,31,32, 지, 상, 지, 지, 상, 상,ablation, �,0.0972,0.0757,0.0116
영화관에서 시우와 도윤가 쇼핑을 했습니다. 도윤가 새로 산 열쇠를 포장해서,469,1,5,7,8,10,20,22,31,32, 도, 시, 도, 도, 시, 시,eval, 주,0.1387,0.0374,0.0107
카페에 승민과 서준가 앉아있었습니다. 서준는 자신이 아끼는 지갑을 챙겨서,536,1,4,7,8,10,17,19,32,33, 서, �, 서, 서, �, �,ablation, �,0.0732,0.0732,0.0077
백화점에서 지안과 서준가 이야기를 나누고 있었습니다. 서준가 우산을 꺼내어,87,1,5,7,8,10,19,21,29,30, 서, 지, 서, 서, 지, 지,eval, 지,0.2676,0.2676,0.003
공원에서 철수와 예준가 놀고 있었습니다. 예준가 예쁜 편지를 발견하고는,614,1,4,7,8,10,18,20,29,30, 예, �, 예, 예, �, �,eval, 그,0.0698,0.0,0.0089
해변에 수진과 은지가 함께 도착했습니다. 은지는 미리 준비한 장난감을 내밀며,198,1,4,6,7,10,7,10,29,30, �, 수, �, �, 수, 수,ablation, 수,0.2432,0.2432,0.0
카페에서 수진과 지민가 쇼핑을 했습니다. 지민가 새로 산 공을 포장해서,431,1,4,6,7,9,19,21,29,30, 지, 수, 지, 지, 수, 수,ablation, 주,0.0889,0.012,0.0175
공원에서 서윤과 도윤가 공부를 하고 있었습니다. 갑자기 도윤가 편지를 집어 들고는,214,1,4,6,7,9,21,23,32,33, 도, 서, 도, 도, 서, 서,ablation," """,0.1221,0.0894,0.024
백화점에서 도윤과 서준가 공부를 하고 있었습니다. 갑자기 서준가 공을 집어 들고는,281,1,5,7,8,10,22,24,31,32, 서, 도, 서, 서, 도, 도,ablation, 도,0.1035,0.1035,0.014
조용한 영화관에서 재민과 하은가 식사를 마쳤습니다. 하은가 가방에서 편지를 꺼내더니,764,1,7,9,10,12,20,22,35,36, 하, 재, 하, 하, 재, 재,ablation,",",0.084,0.0479,0.0327
놀이터에서 건우와 소율가 놀고 있었습니다. 소율가 예쁜 사과를 발견하고는,675,1,5,7,8,10,18,20,28,29, 소, 건, 소, 소, 건, 건,circuit, �,0.1162,0.0583,0.0378
학교에 소율과 지훈가 방문했습니다. 지훈는 기념품으로 산 지갑을 조심스럽게,906,1,3,5,6,8,12,14,28,29, 지, 소, 지, 지, 소, 소,ablation, 들,0.124,0.043,0.0229
식당에 서현과 지훈가 함께 도착했습니다. 지훈는 미리 준비한 사과를 내밀며,145,1,4,6,7,9,15,17,27,28, 지, 서, 지, 지, 서, 서,eval," """,0.1133,0.1133,0.0106
백화점에 다은과 예준가 앉아있었습니다. 예준는 자신이 아끼는 열쇠를 챙겨서,589,1,5,7,8,10,17,19,32,33, 예, 다, 예, 예, 다, 다,ablation, �,0.4258,0.0114,0.0042
영화관에서 예준과 지훈가 이야기를 나누고 있었습니다. 지훈가 연필을 꺼내어,63,1,5,7,8,10,19,21,29,30, 지, 예, 지, 지, 예, 예,eval, 그,0.0674,0.0635,0.0097
카페에서 지우와 주원가 놀고 있었습니다. 주원가 예쁜 선물을 발견하고는,632,1,4,6,7,9,17,19,26,27, 주, 지, 주, 주, 지, 지,eval, 지,0.1729,0.1729,0.03
"어느 화창한 날, 도서관에서 성민과 지호가 산책을 했습니다. 지호가 바닥에서 책을 주워서",320,1,14,16,17,19,28,30,38,39, 지, 성, 지, 지, 성, 성,ablation, 성,0.291,0.291,0.042
학교에서 하준과 예준가 쇼핑을 했습니다. 예준가 새로 산 연필을 포장해서,403,1,3,5,6,8,18,20,29,30, 예, 하, 예, 예, 하, 하,circuit, 주,0.1162,0.0962,0.0021
"어느 화창한 날, 백화점에서 하은과 서윤가 산책을 했습니다. 서윤가 바닥에서 열쇠를 주워서",389,1,15,17,18,20,29,31,40,41, 서, 하, 서, 서, 하, 하,ablation, 열,0.1016,0.0137,0.0374
"어느 화창한 날, 해변에서 하은과 서연가 산책을 했습니다. 서연가 바닥에서 우산을 주워서",397,1,13,15,16,18,27,29,38,39, 서, 하, 서, 서, 하, 하,ablation, �,0.0747,0.0483,0.0115
도서관에 상철과 서윤가 함께 도착했습니다. 서윤는 미리 준비한 열쇠를 내밀며,129,1,5,7,8,10,16,18,28,29, 서, 상, 서, 서, 상, 상,ablation, 도,0.5938,0.0168,0.0062
학교에서 시우와 도윤가 이야기를 나누고 있었습니다. 도윤가 연필을 꺼내어,3,1,3,5,6,8,17,19,27,28, 도, 시, 도, 도, 시, 시,ablation, 시,0.1226,0.1226,0.0095
공원에 하준과 지훈가 방문했습니다. 지훈는 기념품으로 산 공을 조심스럽게,911,1,4,6,7,9,13,15,28,29, 지, 하, 지, 지, 하, 하,ablation, 들,0.2441,0.0029,0.02
도서관에서 지우와 도윤가 공부를 하고 있었습니다. 갑자기 도윤가 장난감을 집어 들고는,228,1,5,7,8,10,22,24,33,34, 도, 지, 도, 도, 지, 지,ablation, 도,0.2637,0.0229,0.2637
식당에서 승민과 영희가 이야기를 나누고 있었습니다. 영희가 편지를 꺼내어,44,1,4,7,8,10,19,21,30,31, 영, �, 영, 영, �, �,ablation, 보,0.332,0.0,0.0078
학교에서 영호와 서준가 공부를 하고 있었습니다. 갑자기 서준가 열쇠를 집어 들고는,209,1,3,5,6,8,20,22,30,31, 서, 영, 서, 서, 영, 영,ablation, 집,0.1025,0.0139,0.0312
조용한 식당에서 지호와 서준가 식사를 마쳤습니다. 서준가 가방에서 열쇠를 꺼내더니,749,1,8,10,11,13,21,23,35,36, 서, 지, 서, 서, 지, 지,circuit,",",0.0859,0.0261,0.0217
식당에 서현과 지훈가 앉아있었습니다. 지훈는 자신이 아끼는 우산을 챙겨서,547,1,4,6,7,9,16,18,31,32, 지, 서, 지, 지, 서, 서,ablation, 가져,0.0742,0.0698,0.0129
병원에서 시우와 예준가 쇼핑을 했습니다. 예준가 새로 산 우산을 포장해서,457,1,3,5,6,8,18,20,29,30, 예, 시, 예, 예, 시, 시,ablation, 가져,0.1001,0.0145,0.0087
식당에 서준과 지훈가 함께 도착했습니다. 지훈는 미리 준비한 사과를 내밀며,145,1,4,6,7,9,15,17,27,28, 지, 서, 지, 지, 서, 서,circuit," """,0.127,0.1196,0.0092
공원에서 지호와 예준가 놀고 있었습니다. 예준가 예쁜 공을 발견하고는,611,1,4,6,7,9,17,19,26,27, 예, 지, 예, 예, 지, 지,circuit, 지,0.1152,0.1152,0.0166
카페에서 서현과 하준가 이야기를 나누고 있었습니다. 하준가 사과를 꺼내어,35,1,4,6,7,9,18,20,28,29, 하, 서, 하, 하, 서, 서,circuit, �,0.208,0.0386,0.0056
학교에 지민과 시우가 함께 도착했습니다. 시우는 미리 준비한 연필을 내밀며,103,1,3,5,6,8,14,16,26,27, 시, 지, 시, 시, 지, 지,ablation," """,0.1953,0.1182,0.0067
영화관에 민서와 주원가 함께 도착했습니다. 주원는 미리 준비한 장난감을 내밀며,168,1,5,8,9,11,17,19,30,31, 주, �, 주, 주, �, �,ablation," """,0.1826,0.0,0.0381
병원에서 주원과 시우가 이야기를 나누고 있었습니다. 시우가 선물을 꺼내어,52,1,3,5,6,8,17,19,26,27, 시, 주, 시, 시, 주, 주,ablation, 주,0.918,0.918,0.0007
공원에서 은지와 주원가 게임을 했습니다. 벌칙으로 주원가 책을 건네며,810,1,4,7,8,10,22,24,29,30, 주, �, 주, 주, �, �,ablation," """,0.0601,0.0,0.0342
식당에서 지호와 예준가 쇼핑을 했습니다. 예준가 새로 산 장난감을 포장해서,448,1,4,6,7,9,19,21,31,32, 예, 지, 예, 예, 지, 지,circuit, 지,0.1094,0.1094,0.007
도서관에 다은과 지호가 방문했습니다. 지호는 기념품으로 산 연필을 조심스럽게,923,1,5,7,8,10,14,16,30,31, 지, 다, 지, 지, 다, 다,ablation, 들,0.1797,0.0139,0.0139
카페에서 도윤과 서준가 게임을 했습니다. 벌칙으로 서준가 장난감을 건네며,838,1,4,6,7,9,21,23,30,31, 서, 도, 서, 서, 도, 도,ablation, 도,0.0684,0.0684,0.0221
공원에서 주원과 서준가 게임을 했습니다. 벌칙으로 서준가 책을 건네며,810,1,4,6,7,9,21,23,28,29, 서, 주, 서, 서, 주, 주,ablation, 주,0.0732,0.0732,0.0305
영화관에 하준과 예준가 함께 도착했습니다. 예준는 미리 준비한 공을 내밀며,161,1,5,7,8,10,16,18,27,28, 예, 하, 예, 예, 하, 하,eval, 하,0.1816,0.1816,0.007
공원에 도윤과 민수가 방문했습니다. 민수는 기념품으로 산 지갑을 조심스럽게,916,1,4,6,13,16,13,16,30,31, �, 도, �, �, 도, 도,ablation, 들,0.1147,0.0006,0.0
백화점에 민서와 서연가 앉아있었습니다. 서연는 자신이 아끼는 연필을 챙겨서,583,1,5,8,9,11,18,20,33,34, 서, �, 서, 서, �, �,ablation, �,0.0996,0.0996,0.0019
해변에서 서윤과 주원가 공부를 하고 있었습니다. 갑자기 주원가 연필을 집어 들고는,293,1,4,6,7,9,21,23,31,32, 주, 서, 주, 주, 서, 서,circuit, 서,0.2852,0.2852,0.032
놀이터에서 주원과 예준가 이야기를 나누고 있었습니다. 예준가 공을 꺼내어,71,1,5,7,8,10,19,21,28,29, 예, 주, 예, 예, 주, 주,ablation, 주,0.1216,0.1216,0.0211
백화점에 은지와 주원가 방문했습니다. 주원는 기념품으로 산 장난감을 조심스럽게,988,1,5,8,9,11,15,17,32,33, 주, �, 주, 주, �, �,ablation, 들,0.2773,0.0,0.0058
