prompt,prompt_id,prefix,IO,and,S1,S1+1,action1,S2,action2,to,length,wrong_token,correct_token,S1_token,S2_token,IO_token,label,split,top_answer,top_answer_prob,correct_prob,wrong_prob
"Mientras Michelle y Jeffrey iban a la casa, Jeffrey le dio un hueso a",626,1,3,4,5,6,7,12,13,18,19, Jeffrey, Michelle, Jeffrey, Jeffrey, Michelle, Michelle,ablation, su,0.4141,0.1836,0.0005
"Entonces, Michelle y Alison estaban trabajando en a la tienda. Alison decidió darle un beso a",129,1,4,5,6,7,8,17,18,26,27, Alison, Michelle, Alison, Alison, Michelle, Michelle,eval, Michelle,0.582,0.582,0.0002
"Entonces, José y Oscar fueron al restaurante. Oscar le dio un hueso a",18,1,4,5,6,7,8,12,13,18,19, Oscar, José, Oscar, Oscar, José, José,ablation, José,0.3125,0.3125,0.0035
Los amigos Travis y Ana encontraron un refresco en a la tienda. Ana se lo dio a,902,1,3,4,5,6,7,17,18,21,22, Ana, Travis, Ana, Ana, Travis, Travis,eval, Travis,0.5234,0.5234,0.0
"Después de que Carmen y Antonio fueran a la tienda, Antonio le dio un beso a",321,1,5,6,7,8,9,15,16,21,22, Antonio, Carmen, Antonio, Antonio, Carmen, Carmen,ablation, Carmen,0.5703,0.5703,0.0005
"Mientras Andrea y Elena trabajaban en a la oficina, Elena le dio un refresco a",558,1,3,4,5,6,7,14,15,20,21, Elena, Andrea, Elena, Elena, Andrea, Andrea,eval, Andrea,0.7305,0.7305,0.0009
"Entonces, Laura y Sergio tuvieron una larga discusión. Después Sergio le dijo a",800,1,4,5,6,7,8,18,19,21,22, Sergio, Laura, Sergio, Sergio, Laura, Laura,ablation, Laura,0.7188,0.7188,0.0004
a la oficina al que fueron Diana y Oscar tenía un bocadillo. Oscar se lo dio a,879,1,8,9,10,11,12,18,19,22,23, Oscar, Diana, Oscar, Oscar, Diana, Diana,ablation, Diana,0.6133,0.6133,0.001
"Entonces, Kristen y Jaime tuvieron una larga discusión, y después Jaime le dijo a",263,1,4,5,6,7,8,19,20,22,23, Jaime, Kristen, Jaime, Jaime, Kristen, Kristen,ablation, Kristen,0.4785,0.4785,0.0008
"Entonces, Mario y Ana tuvieron una larga discusión, y después Ana le dijo a",274,1,4,5,6,7,8,19,20,22,23, Ana, Mario, Ana, Ana, Mario, Mario,ablation, Mario,0.793,0.793,0.0005
a la casa al que fueron Samuel y Lola tenía un collar. Lola se lo dio a,885,1,7,8,9,10,11,14,15,18,19, Lola, Samuel, Lola, Lola, Samuel, Samuel,ablation, Samuel,0.5195,0.5195,0.0003
"Entonces, Bradley y Diego estaban trabajando en a la oficina. Diego decidió darle un hueso a",170,1,4,5,6,7,8,17,18,26,27, Diego, Bradley, Diego, Diego, Bradley, Bradley,eval, Bradley,0.4375,0.4375,0.0005
"Entonces, Kenneth y Carlos fueron a la oficina. Carlos le dio un anillo a",40,1,4,5,6,7,8,13,14,19,20, Carlos, Kenneth, Carlos, Carlos, Kenneth, Kenneth,ablation, Kenneth,0.5703,0.5703,0.0028
"Cuando Alejandro y Lola consiguieron un balón en al jardín, Lola decidió dárselo a",395,1,3,4,5,6,7,18,19,25,26, Lola, Alejandro, Lola, Lola, Alejandro, Alejandro,ablation, su,0.2871,0.1641,0.0001
"Entonces, Carmen y Alan estaban trabajando en al restaurante. Alan decidió darle un beso a",145,1,4,5,6,7,8,16,17,25,26, Alan, Carmen, Alan, Alan, Carmen, Carmen,eval, Carmen,0.6797,0.6797,0.0005
"Después de que Amanda y Juan fueran al jardín, Juan le dio un beso a",329,1,5,6,7,8,9,15,16,21,22, Juan, Amanda, Juan, Juan, Amanda, Amanda,circuit, su,0.2832,0.2832,0.0046
a la estación al que fueron Dustin y Eric tenía un ordenador. Eric se lo dio a,892,1,8,9,10,11,12,16,17,20,21, Eric, Dustin, Eric, Eric, Dustin, Dustin,ablation, Dustin,0.457,0.457,0.0008
"Después del almuerzo, Travis y Hugo fueron a la tienda. Hugo le dio un bocadillo a",647,1,8,9,10,11,12,17,18,25,26, Hugo, Travis, Hugo, Hugo, Travis, Travis,circuit, Travis,0.4453,0.4453,0.0068
"Más tarde, Jeffrey y Eric fueron a la tienda. Eric le dio un bocadillo a",711,1,5,6,7,8,9,14,15,22,23, Eric, Jeffrey, Eric, Eric, Jeffrey, Jeffrey,ablation, Jeffrey,0.5977,0.5977,0.0024
"Entonces, Kevin y Oscar estaban trabajando en a la casa. Oscar decidió darle un balón a",179,1,4,5,6,7,8,16,17,25,26, Oscar, Kevin, Oscar, Oscar, Kevin, Kevin,ablation, Kevin,0.5234,0.5234,0.0017
"Entonces, María y Oscar tuvieron una larga discusión, y después Oscar le dijo a",309,1,4,5,6,7,8,19,20,22,23, Oscar, María, Oscar, Oscar, María, María,ablation, María,0.5469,0.5469,0.0006
"Cuando Jonathan y Bradley consiguieron un beso en a la escuela, Bradley decidió dar el objeto a",473,1,3,4,5,6,7,18,19,25,26, Bradley, Jonathan, Bradley, Bradley, Jonathan, Jonathan,eval, Jonathan,0.4121,0.4121,0.0028
"Cuando Laura y Alan consiguieron un hueso en al hospital, Alan decidió dar el objeto a",482,1,3,4,5,6,7,16,17,23,24, Alan, Laura, Alan, Alan, Laura, Laura,ablation, su,0.2314,0.2041,0.0007
"Entonces, Oscar y Ana tuvieron una larga discusión. Después Ana le dijo a",829,1,4,5,6,7,8,18,19,21,22, Ana, Oscar, Ana, Ana, Oscar, Oscar,ablation, Oscar,0.6641,0.6641,0.0024
"Mientras Rafael y Paula trabajaban en a la estación, Paula le dio un ordenador a",572,1,3,4,5,6,7,14,15,20,21, Paula, Rafael, Paula, Paula, Rafael, Rafael,ablation, Rafael,0.3809,0.3809,0.0031
"Después del almuerzo, Kristen y Roberto fueron al jardín. Roberto le dio un balón a",651,1,8,9,10,11,12,17,18,23,24, Roberto, Kristen, Roberto, Roberto, Kristen, Kristen,ablation, Kristen,0.4941,0.4941,0.0001
"Entonces, José y Rosa fueron a la escuela. Rosa le dio un beso a",25,1,4,5,6,7,8,13,14,19,20, Rosa, José, Rosa, Rosa, José, José,ablation, José,0.4883,0.4883,0.0012
"Entonces, Diana y Diego tuvieron una larga discusión. Después Diego le dijo a",794,1,4,5,6,7,8,18,19,21,22, Diego, Diana, Diego, Diego, Diana, Diana,eval, Diana,0.6953,0.6953,0.0005
a la oficina al que fueron Kenneth y Oscar tenía un bocadillo. Oscar se lo dio a,879,1,8,9,10,11,12,18,19,22,23, Oscar, Kenneth, Oscar, Oscar, Kenneth, Kenneth,ablation, Kenneth,0.377,0.377,0.0016
"Entonces, Victor y Diego se divirtieron mucho en a la escuela. Diego le dio un ordenador a",92,1,4,5,6,7,8,18,19,24,25, Diego, Victor, Diego, Diego, Victor, Victor,ablation, Victor,0.7148,0.7148,0.0008
"Entonces, Eric y Ana estaban pensando en ir a la casa. Ana quería darle un refresco a",246,1,4,5,6,7,8,17,18,25,26, Ana, Eric, Ana, Ana, Eric, Eric,ablation, Eric,0.3848,0.3848,0.017
Los amigos Paula y Sergio encontraron un balón en al jardín. Sergio se lo dio a,907,1,3,4,5,6,7,17,18,21,22, Sergio, Paula, Sergio, Sergio, Paula, Paula,ablation, Paula,0.8047,0.8047,0.0005
"Mientras Alison y Dustin iban a la escuela, Dustin le dio un collar a",605,1,3,4,5,6,7,13,14,18,19, Dustin, Alison, Dustin, Dustin, Alison, Alison,ablation, Alison,0.7266,0.7266,0.0
"Más tarde, Antonio y Carlos fueron al restaurante. Carlos le dio un ordenador a",724,1,5,6,7,8,9,13,14,19,20, Carlos, Antonio, Carlos, Carlos, Antonio, Antonio,ablation, Antonio,0.832,0.832,0.0034
"Entonces, José y Dustin fueron a la tienda. Dustin le dio un bocadillo a",7,1,4,5,6,7,8,13,14,21,22, Dustin, José, Dustin, Dustin, José, José,ablation, José,0.5273,0.5273,0.0007
"Mientras Elena y Paula trabajaban en a la oficina, Paula le dio un hueso a",554,1,3,4,5,6,7,14,15,20,21, Paula, Elena, Paula, Paula, Elena, Elena,circuit, su,0.3711,0.0535,0.0007
