prompt,prompt_id,prefix,IO,connector,S1,action1,S2,action2,to,length,wrong_token,correct_token,S1_token,S2_token,IO_token,label,split,top_answer,top_answer_prob,correct_prob,wrong_prob
オフィスで愛と健太が買い物をしていた。健太は素敵なキスを購入し、,257,1,5,6,7,9,14,16,24,25,健,愛,健,健,愛,愛,ablation,オ,0.4355,0.2812,0.0029
智也と和也は病院の図書館にいた。和也は借りていた骨を読み終え、,970,1,1,3,4,6,17,19,27,28,和,智,和,和,智,智,eval,智,0.2012,0.2012,0.0089
学校で愛と美咲が準備をしていた。美咲は余分なネックレスを持っていたので、,749,1,3,4,5,8,13,16,26,27,美,愛,美,美,愛,愛,circuit,学校,0.126,0.126,0.0767
家で智也と愛が本棚を見ていた。愛は面白そうなバスケットボールを選び、,627,1,3,5,6,7,13,14,22,23,愛,智,愛,愛,智,智,ablation,智,0.1387,0.1387,0.0078
レストランで愛と大輔が練習していた。大輔はネックレスをキャッチすると、力強く,309,1,3,4,5,7,12,14,24,25,大,愛,大,大,愛,愛,circuit,腕,0.0322,0.0098,0.0028
大輔と翔太がレストランで席に着いた。翔太は熱い指輪を持ってきて、,376,1,1,3,4,6,14,16,23,24,翔,大,翔,翔,大,大,ablation,大,0.5625,0.5625,0.002
翼と大輔は店の図書館にいた。大輔は借りていたバスケットボールを読み終え、,939,1,1,2,3,5,15,17,27,28,大,翼,大,大,翼,翼,eval,翼,0.3203,0.3203,0.0085
店の隅で亮と陽菜が二人きりだった。陽菜は衝撃的なネックレスを知り、こっそりと,509,1,5,6,7,9,15,17,33,34,陽,亮,陽,陽,亮,亮,ablation,亮,0.2969,0.2969,0.009
庭で七海と愛が乾杯しようとしていた。愛は冷えた飲み物を開け、,1022,1,3,5,6,7,14,15,22,23,愛,七,愛,愛,七,七,eval,庭,0.1797,0.0845,0.0018
彩と美優はレストランの図書館にいた。美優は借りていたキスを読み終え、,953,1,1,2,3,5,15,17,26,27,美,彩,美,美,彩,彩,ablation,彩,0.3379,0.3379,0.0058
美月と亮は学校にいた。亮は落ちていたバスケットボールを拾い、,99,1,1,3,4,5,10,11,20,21,亮,美,亮,亮,美,美,ablation,美,0.6641,0.6641,0.0003
病院で陽菜と大輔が仕事をしていた。大輔は新しい飲み物を作成し、その内容を,470,1,4,6,7,9,13,15,25,26,大,陽,大,大,陽,陽,ablation,陽,0.207,0.207,0.0248
店で楓と健太が買い物をしていた。健太は素敵な骨を購入し、,218,1,3,5,6,8,13,15,22,23,健,�,健,健,�,�,circuit,店,0.2285,0.0,0.0449
家で美月と愛が乾杯しようとしていた。愛は冷えたネックレスを開け、,1061,1,3,5,6,7,14,15,23,24,愛,美,愛,愛,美,美,circuit,美,0.2109,0.2109,0.0072
優菜と翼はレストランの図書館にいた。翼は借りていた骨を読み終え、,954,1,1,3,4,5,15,16,24,25,翼,優,翼,翼,優,優,ablation,優,0.4199,0.4199,0.0019
家で翼と大輔が乾杯しようとしていた。大輔は冷えたバスケットボールを開け、,1059,1,3,4,5,7,14,16,24,25,大,翼,大,大,翼,翼,eval,翼,0.1201,0.1201,0.006
彩と七海はオフィスで休憩していた。七海は携帯の画面にある飲み物を表示し、,838,1,1,2,3,5,14,16,28,29,七,彩,七,七,彩,彩,ablation,彩,0.6328,0.6328,0.0043
オフィスで彩と結衣が乾杯しようとしていた。結衣は冷えたスナックを開け、,1055,1,5,6,7,9,16,18,26,27,結,彩,結,結,彩,彩,eval,彩,0.5781,0.5781,0.0006
病院で愛と陽菜が話していた。陽菜は骨を取り出すと、,34,1,4,5,6,8,12,14,19,20,陽,愛,陽,陽,愛,愛,ablation,病,0.1377,0.0613,0.0114
和也と美咲は家で休憩していた。美咲は携帯の画面にある骨を表示し、,842,1,1,3,4,7,14,17,28,29,美,和,美,美,和,和,ablation,和,0.2539,0.2539,0.0126
オフィスで剛と健太が練習していた。健太はコンピューターをキャッチすると、力強く,332,1,5,6,7,9,14,16,27,28,健,剛,健,健,剛,剛,ablation,、,0.0352,0.0014,0.0014
葵と一輝はオフィスで修理をしていた。一輝は近くにあった飲み物を掴み、,694,1,1,2,3,5,14,16,25,26,一,葵,一,一,葵,葵,ablation,葵,0.2354,0.2354,0.0248
楓と和也がレストランで席に着いた。和也は熱い飲み物を持ってきて、,382,1,1,3,4,6,14,16,23,24,和,�,和,和,�,�,ablation,�,0.3281,0.0,0.0175
誠と優菜は家にいた。優菜は落ちていたバスケットボールを拾い、,123,1,1,2,3,5,10,12,21,22,優,誠,優,優,誠,誠,ablation,誠,0.4746,0.4746,0.0011
庭で美月と一輝が練習していた。一輝はスナックをキャッチすると、力強く,303,1,3,5,6,8,13,15,25,26,一,美,一,一,美,美,eval,投,0.064,0.0015,0.0437
オフィスで大輔と翔太が仕事をしていた。翔太は新しいキスを作成し、その内容を,473,1,5,7,8,10,14,16,26,27,翔,大,翔,翔,大,大,ablation,大,0.3027,0.3027,0.0001
結衣と健太は学校で休憩していた。健太は携帯の画面にあるコンピューターを表示し、,820,1,1,3,4,6,13,15,29,30,健,結,健,健,結,結,eval,結,0.4629,0.4629,0.0058
病院で翼と陽菜が本棚を見ていた。陽菜は面白そうなバスケットボールを選び、,611,1,4,5,6,8,14,16,24,25,陽,翼,陽,陽,翼,翼,circuit,翼,0.582,0.582,0.0035
庭で裕太と亮が本棚を見ていた。亮は面白そうなコンピューターを選び、,588,1,3,5,6,7,13,14,23,24,亮,裕,亮,亮,裕,裕,eval,裕,0.1748,0.1748,0.0023
優花と涼太は庭の図書館にいた。涼太は借りていた骨を読み終え、,946,1,1,3,4,6,16,18,26,27,涼,優,涼,涼,優,優,ablation,優,0.208,0.208,0.0118
達也と哲也はオフィスで休憩していた。哲也は携帯の画面にある骨を表示し、,834,1,1,3,4,6,15,17,28,29,哲,達,哲,哲,達,達,ablation,達,0.4199,0.4199,0.003
店の隅で大輔と翔太が二人きりだった。翔太は衝撃的な指輪を知り、こっそりと,504,1,5,7,8,10,16,18,33,34,翔,大,翔,翔,大,大,eval,大,0.2139,0.2139,0.0021
花と直樹はオフィスにいた。直樹は落ちていたネックレスを拾い、,117,1,1,2,3,5,12,14,23,24,直,花,直,直,花,花,ablation,その,0.0557,0.0132,0.0522
家で美月と哲也が仕事をしていた。哲也は新しいコンピューターを作成し、その内容を,484,1,3,5,6,8,12,14,26,27,哲,美,哲,哲,美,美,ablation,美,0.459,0.459,0.0006
健太と翔太はレストランの図書館にいた。翔太は借りていた骨を読み終え、,954,1,1,3,4,6,16,18,26,27,翔,健,翔,翔,健,健,ablation,健,0.5078,0.5078,0.0009
家で葵と結衣が帰り支度をしていた。結衣は車のスナックを見つけ、,919,1,3,4,5,7,14,16,23,24,結,葵,結,結,葵,葵,ablation,葵,0.3398,0.3398,0.0055
オフィスで大輔と翔太が乾杯しようとしていた。翔太は冷えた飲み物を開け、,1054,1,5,7,8,10,17,19,26,27,翔,大,翔,翔,大,大,ablation,大,0.207,0.207,0.0001
庭で七海と翔太が乾杯しようとしていた。翔太は冷えた指輪を開け、,1016,1,3,5,6,8,15,17,24,25,翔,七,翔,翔,七,七,ablation,七,0.0776,0.0776,0.0008
七海と美優は山にいた。美優は落ちていたバスケットボールを拾い、,139,1,1,3,4,6,11,13,22,23,美,七,美,美,七,七,ablation,七,0.4238,0.4238,0.005
庭で拓也と結衣が話していた。結衣は指輪を取り出すと、,8,1,3,5,6,8,12,14,20,21,結,拓,結,結,拓,拓,ablation,拓,0.0688,0.0688,0.0068
家で楓と未来が準備をしていた。未来は余分なネックレスを持っていたので、,773,1,3,5,6,7,12,13,23,24,未来,�,未来,未来,�,�,ablation,家,0.1895,0.0,0.0061
庭で七海と翔太が準備をしていた。翔太は余分なネックレスを持っていたので、,733,1,3,5,6,8,13,15,25,26,翔,七,翔,翔,七,七,ablation,庭,0.2422,0.1143,0.0137
哲也と亮が学校で席に着いた。亮は熱いキスを持ってきて、,385,1,1,3,4,5,13,14,21,22,亮,哲,亮,亮,哲,哲,ablation,哲,0.6953,0.6953,0.0003
庭で一輝と翔太が準備をしていた。翔太は余分な指輪を持っていたので、,728,1,3,5,6,8,13,15,24,25,翔,一,翔,翔,一,一,circuit,庭,0.1729,0.1348,0.0118
庭で哲也と拓也が準備をしていた。拓也は余分なコンピューターを持っていたので、,732,1,3,5,6,8,13,15,26,27,拓,哲,拓,拓,哲,哲,ablation,庭,0.0728,0.0082,0.0087
店の隅で美優と翔太が二人きりだった。翔太は衝撃的なコンピューターを知り、こっそりと,508,1,5,7,8,10,16,18,35,36,翔,美,翔,翔,美,美,ablation,美,0.3105,0.3105,0.0176
レストランで里奈と優花が本棚を見ていた。優花は面白そうなコンピューターを選び、,596,1,3,5,6,8,14,16,25,26,優,里,優,優,里,里,ablation,里,0.1777,0.1777,0.005
駅で大輔と翔太が本棚を見ていた。翔太は面白そうな骨を選び、,634,1,4,6,7,9,15,17,23,24,翔,大,翔,翔,大,大,circuit,大,0.5469,0.5469,0.0025
山で涼太と美月が仕事をしていた。美月は新しい骨を作成し、その内容を,498,1,3,5,6,8,12,14,23,24,美,涼,美,美,涼,涼,ablation,山,0.2217,0.0496,0.0086
愛と拓也は駅にいた。拓也は落ちていたネックレスを拾い、,133,1,1,2,3,5,11,13,22,23,拓,愛,拓,拓,愛,愛,ablation,愛,0.5273,0.5273,0.0007
駅の隅で愛と結衣が二人きりだった。結衣は衝撃的なバスケットボールを知り、こっそりと,563,1,6,7,8,10,16,18,34,35,結,愛,結,結,愛,愛,ablation,愛,0.2334,0.2334,0.0297
オフィスの隅で葵と達也が二人きりだった。達也は衝撃的な飲み物を知り、こっそりと,550,1,7,8,9,11,17,19,34,35,達,葵,達,達,葵,葵,ablation,葵,0.332,0.332,0.005
学校で楓と健太が歩いていたとき、健太は珍しい骨を見つけ、すぐに,170,1,3,5,6,8,13,15,21,22,健,�,健,健,�,�,ablation,�,0.1377,0.0,0.1216
店で哲也と陽菜が準備をしていた。陽菜は余分な骨を持っていたので、,722,1,3,5,6,8,13,15,23,24,陽,哲,陽,陽,哲,哲,eval,店,0.1235,0.0243,0.0051
レストランで葵と達也が練習していた。達也はコンピューターをキャッチすると、力強く,308,1,3,4,5,7,12,14,25,26,達,葵,達,達,葵,葵,ablation,、,0.0513,0.001,0.0001
千尋と結衣は店で修理をしていた。結衣は近くにあったコンピューターを掴み、,652,1,1,3,4,6,13,15,26,27,結,千,結,結,千,千,ablation,千,0.6914,0.6914,0.0005
店で亮と健太が仕事をしていた。健太は新しい指輪を作成し、その内容を,432,1,3,4,5,7,11,13,23,24,健,亮,健,健,亮,亮,ablation,亮,0.1494,0.1494,0.0031
店で剛と七海が準備をしていた。七海は余分なキスを持っていたので、,721,1,3,4,5,7,12,14,23,24,七,剛,七,七,剛,剛,eval,店,0.1187,0.0151,0.0133
駅で剛と拓也が乾杯しようとしていた。拓也は冷えたスナックを開け、,1071,1,4,5,6,8,15,17,25,26,拓,剛,拓,拓,剛,剛,ablation,剛,0.0613,0.0613,0.0001
店で優花と七海が歩いていたとき、七海は珍しいバスケットボールを見つけ、すぐに,147,1,3,5,6,8,13,15,23,24,七,優,七,七,優,優,ablation,店,0.127,0.1196,0.0092
オフィスで達也と亮が話していた。亮はスナックを取り出すと、,47,1,5,7,8,9,13,14,21,22,亮,達,亮,亮,達,達,circuit,オ,0.105,0.0598,0.0032
学校で亮と陽菜が帰り支度をしていた。陽菜は車のスナックを見つけ、,895,1,3,4,5,7,14,16,23,24,陽,亮,陽,陽,亮,亮,ablation,亮,0.1904,0.1904,0.0121
オフィスで一輝と七海が買い物をしていた。七海は素敵な骨を購入し、,258,1,5,7,8,10,15,17,24,25,七,一,七,七,一,一,circuit,一,0.5586,0.5586,0.014
家で陸と七海が本棚を見ていた。七海は面白そうな指輪を選び、,624,1,3,4,5,7,13,15,22,23,七,陸,七,七,陸,陸,ablation,家,0.1836,0.1523,0.0028
山で葵と一輝が買い物をしていた。一輝は素敵なバスケットボールを購入し、,283,1,3,4,5,7,12,14,23,24,一,葵,一,一,葵,葵,circuit,葵,0.3965,0.3965,0.0254
店で亮と拓也が乾杯しようとしていた。拓也は冷えたコンピューターを開け、,1012,1,3,4,5,7,14,16,25,26,拓,亮,拓,拓,亮,亮,circuit,店,0.1147,0.0952,0.0001
オフィスで達也と大輔が本棚を見ていた。大輔は面白そうなコンピューターを選び、,620,1,5,7,8,10,16,18,27,28,大,達,大,大,達,達,ablation,達,0.21,0.21,0.0413
学校で愛と翔太が準備をしていた。翔太は余分なネックレスを持っていたので、,749,1,3,4,5,7,12,14,24,25,翔,愛,翔,翔,愛,愛,ablation,愛,0.1011,0.1011,0.0309
オフィスで美優と拓也が話していた。拓也はキスを取り出すと、,41,1,5,7,8,10,14,16,22,23,拓,美,拓,拓,美,美,circuit,美,0.4551,0.4551,0.0008
オフィスで一輝と達也が本棚を見ていた。達也は面白そうな飲み物を選び、,622,1,5,7,8,10,16,18,25,26,達,一,達,達,一,一,ablation,一,0.2969,0.2969,0.0021
彩と優花は病院で休憩していた。優花は携帯の画面にあるコンピューターを表示し、,828,1,1,2,3,5,13,15,29,30,優,彩,優,優,彩,彩,ablation,彩,0.5234,0.5234,0.0045
オフィスの隅で亮と陽菜が二人きりだった。陽菜は衝撃的なコンピューターを知り、こっそりと,548,1,7,8,9,11,17,19,36,37,陽,亮,陽,陽,亮,亮,ablation,亮,0.166,0.166,0.0136
学校で和也と葵が帰り支度をしていた。葵は車のコンピューターを見つけ、,892,1,3,5,6,7,14,15,23,24,葵,和,葵,葵,和,和,ablation,和,0.1797,0.1797,0.0007
家で葵と健太が仕事をしていた。健太は新しいネックレスを作成し、その内容を,485,1,3,4,5,7,11,13,24,25,健,葵,健,健,葵,葵,ablation,葵,0.0811,0.0811,0.0062
駅の隅で和也と一輝が二人きりだった。一輝は衝撃的なコンピューターを知り、こっそりと,564,1,6,8,9,11,17,19,36,37,一,和,一,一,和,和,ablation,和,0.1758,0.1758,0.0391
山で達也と大輔が帰り支度をしていた。大輔は車のスナックを見つけ、,935,1,3,5,6,8,15,17,24,25,大,達,大,大,達,達,ablation,山,0.2012,0.024,0.0449
