prompt,prompt_id,prefix,IO,connector,S1,action1,S2,action2,length,wrong_token,correct_token,S1_token,S2_token,IO_token,label,split,top_answer,top_answer_prob,correct_prob,wrong_prob
美月と達也はレストランにいた。達也は落ちていた指輪を拾い、,88,1,1,3,4,6,11,13,22,達,美,達,達,美,美,ablation,美,0.4707,0.4707,0.0017
駅で剛と哲也が帰り支度をしていた。哲也は車のスナックを見つけ、,927,1,4,5,6,8,15,17,25,哲,剛,哲,哲,剛,剛,eval,車,0.0293,0.0228,0.0051
達也と結衣がオフィスで席に着いた。結衣は熱い骨を持ってきて、,402,1,1,3,4,6,16,18,25,結,達,結,結,達,達,ablation,達,0.2383,0.2383,0.003
結衣と翔太は学校の図書館にいた。翔太は借りていた飲み物を読み終え、,966,1,1,3,4,6,16,18,28,翔,結,翔,翔,結,結,eval,結,0.6953,0.6953,0.0027
庭の隅で美優と哲也が二人きりだった。哲也は衝撃的なネックレスを知り、こっそりと,517,1,5,7,8,10,16,18,35,哲,美,哲,哲,美,美,ablation,美,0.3535,0.3535,0.0014
駅で楓と哲也が話していた。哲也は飲み物を取り出すと、,62,1,1,3,7,9,13,15,22,哲,�,哲,哲,�,�,ablation,�,0.0608,0.0,0.0106
駅で彩と美月が本棚を見ていた。美月は面白そうなバスケットボールを選び、,635,1,4,5,6,8,14,16,25,美,彩,美,美,彩,彩,ablation,彩,0.7461,0.7461,0.0078
学校で結衣と陽菜が仕事をしていた。陽菜は新しい飲み物を作成し、その内容を,462,1,3,5,6,8,12,14,25,陽,結,陽,陽,結,結,ablation,結,0.1562,0.1562,0.0057
学校で陽菜と翔太が帰り支度をしていた。翔太は車のネックレスを見つけ、,893,1,3,5,6,8,15,17,25,翔,陽,翔,翔,陽,陽,ablation,陽,0.0996,0.0996,0.0015
店で一輝と達也が歩いていたとき、達也は珍しいネックレスを見つけ、すぐに,149,1,3,5,6,8,13,15,24,達,一,達,達,一,一,ablation,店,0.3652,0.1621,0.0009
美月と健太は店で修理をしていた。健太は近くにあったスナックを掴み、,655,1,1,3,4,6,13,15,26,健,美,健,健,美,美,ablation,美,0.332,0.332,0.0033
庭で哲也と陽菜が練習していた。陽菜は飲み物をキャッチすると、力強く,302,1,3,5,6,8,13,15,25,陽,哲,陽,陽,哲,哲,ablation,投,0.0708,0.0,0.0008
レストランで剛と美咲が仕事をしていた。美咲は新しいキスを作成し、その内容を,449,1,3,4,5,8,12,15,26,美,剛,美,美,剛,剛,ablation,「,0.0258,0.0147,0.0228
病院で拓也と健太が乾杯しようとしていた。健太は冷えた飲み物を開け、,1046,1,4,6,7,9,16,18,26,健,拓,健,健,拓,拓,ablation,拓,0.0781,0.0781,0.0025
家の隅で愛と拓也が二人きりだった。拓也は衝撃的な指輪を知り、こっそりと,552,1,4,5,6,8,14,16,32,拓,愛,拓,拓,愛,愛,ablation,愛,0.084,0.084,0.0045
剛と優花は山の図書館にいた。優花は借りていたスナックを読み終え、,1007,1,1,2,3,5,15,17,28,優,剛,優,優,剛,剛,eval,山,0.0292,0.0146,0.0033
美優と結衣は山で修理をしていた。結衣は近くにあったキスを掴み、,713,1,1,3,4,6,13,15,25,結,美,結,結,美,美,ablation,美,0.4023,0.4023,0.0051
健太と陽菜は店で修理をしていた。陽菜は近くにあったキスを掴み、,649,1,1,3,4,6,13,15,25,陽,健,陽,陽,健,健,ablation,健,0.7109,0.7109,0.0023
駅の隅で美優と大輔が二人きりだった。大輔は衝撃的なコンピューターを知り、こっそりと,564,1,6,8,9,11,17,19,37,大,美,大,大,美,美,ablation,美,0.2314,0.2314,0.0586
病院で亮と陽菜が買い物をしていた。陽菜は素敵な骨を購入し、,250,1,4,5,6,8,13,15,23,陽,亮,陽,陽,亮,亮,circuit,亮,0.4219,0.4219,0.0088
拓也と陽菜はレストランにいた。陽菜は落ちていた骨を拾い、,90,1,1,3,4,6,11,13,21,陽,拓,陽,陽,拓,拓,eval,拓,0.75,0.75,0.0039
翼と健太は家の図書館にいた。健太は借りていたネックレスを読み終え、,989,1,1,2,3,5,14,16,27,健,翼,健,健,翼,翼,ablation,翼,0.5859,0.5859,0.0002
学校で美月と七海が本棚を見ていた。七海は面白そうなコンピューターを選び、,604,1,3,5,6,8,14,16,26,七,美,七,七,美,美,ablation,美,0.4102,0.4102,0.0461
病院で翼と大輔が歩いていたとき、大輔は珍しいキスを見つけ、すぐに,177,1,4,5,6,8,13,15,23,大,翼,大,大,翼,翼,ablation,翼,0.3672,0.3672,0.0342
駅で葵と七海が本棚を見ていた。七海は面白そうなバスケットボールを選び、,635,1,4,5,6,8,14,16,25,七,葵,七,七,葵,葵,circuit,葵,0.7773,0.7773,0.003
病院の隅で葵と大輔が二人きりだった。大輔は衝撃的なスナックを知り、こっそりと,543,1,6,7,8,10,16,18,35,大,葵,大,大,葵,葵,ablation,葵,0.4219,0.4219,0.0164
家で翼と葵が買い物をしていた。葵は素敵なスナックを購入し、,271,1,3,4,5,6,11,12,22,葵,翼,葵,葵,翼,翼,ablation,翼,0.418,0.418,0.0027
山で美月と葵が帰り支度をしていた。葵は車の指輪を見つけ、,928,1,3,5,6,7,14,15,22,葵,美,葵,葵,美,美,circuit,美,0.2129,0.2129,0.0003
オフィスで剛と七海が買い物をしていた。七海は素敵なスナックを購入し、,263,1,5,6,7,9,14,16,26,七,剛,七,七,剛,剛,ablation,オ,0.0557,0.0522,0.0109
山で哲也と大輔が本棚を見ていた。大輔は面白そうなキスを選び、,641,1,3,5,6,8,14,16,24,大,哲,大,大,哲,哲,ablation,山,0.625,0.007,0.0033
店で愛と健太が準備をしていた。健太は余分な骨を持っていたので、,722,1,3,4,5,7,12,14,23,健,愛,健,健,愛,愛,ablation,愛,0.1514,0.1514,0.017
レストランで亮と翔太が話していた。翔太はキスを取り出すと、,17,1,3,4,5,7,11,13,20,翔,亮,翔,翔,亮,亮,ablation,亮,0.3926,0.3926,0.001
学校で美月と健太が仕事をしていた。健太は新しい飲み物を作成し、その内容を,462,1,3,5,6,8,12,14,25,健,美,健,健,美,美,ablation,美,0.4551,0.4551,0.0101
里奈と結衣は店の図書館にいた。結衣は借りていた飲み物を読み終え、,942,1,1,3,4,6,16,18,28,結,里,結,結,里,里,ablation,里,0.085,0.085,0.0026
病院の隅で愛と大輔が二人きりだった。大輔は衝撃的なキスを知り、こっそりと,537,1,6,7,8,10,16,18,34,大,愛,大,大,愛,愛,ablation,大,0.0669,0.043,0.0669
陸と大輔は病院で修理をしていた。大輔は近くにあった飲み物を掴み、,686,1,1,2,3,5,13,15,25,大,陸,大,大,陸,陸,circuit,陸,0.2168,0.2168,0.007
優花と達也はオフィスの図書館にいた。達也は借りていた骨を読み終え、,978,1,1,3,4,6,18,20,29,達,優,達,達,優,優,ablation,優,0.3066,0.3066,0.0036
店で一輝と拓也が乾杯しようとしていた。拓也は冷えた飲み物を開け、,1014,1,3,5,6,8,15,17,25,拓,一,拓,拓,一,一,circuit,一,0.2139,0.2139,0.0004
レストランの隅で拓也と大輔が二人きりだった。大輔は衝撃的な骨を知り、こっそりと,522,1,5,7,8,10,16,18,33,大,拓,大,大,拓,拓,ablation,拓,0.2002,0.2002,0.0175
オフィスで愛と大輔が買い物をしていた。大輔は素敵なネックレスを購入し、,261,1,5,6,7,9,14,16,26,大,愛,大,大,愛,愛,ablation,オ,0.7539,0.0332,0.0147
オフィスで哲也と大輔が練習していた。大輔はネックレスをキャッチすると、力強く,333,1,5,7,8,10,15,17,28,大,哲,大,大,哲,哲,ablation,腕,0.0432,0.0,0.0022
美優と翔太はレストランで修理をしていた。翔太は近くにあったネックレスを掴み、,669,1,1,3,4,6,13,15,26,翔,美,翔,翔,美,美,ablation,美,0.4004,0.4004,0.0101
家で哲也と陽菜が買い物をしていた。陽菜は素敵なネックレスを購入し、,269,1,3,5,6,8,13,15,25,陽,哲,陽,陽,哲,哲,eval,家,0.3145,0.1157,0.0084
学校で美月と拓也が買い物をしていた。拓也は素敵な飲み物を購入し、,246,1,3,5,6,8,13,15,24,拓,美,拓,拓,美,美,ablation,美,0.4395,0.4395,0.0002
家で楓と葵が帰り支度をしていた。葵は車の飲み物を見つけ、,918,1,3,5,6,7,14,15,22,葵,�,葵,葵,�,�,ablation,家,0.0723,0.0,0.0071
駅で剛と七海が本棚を見ていた。七海は面白そうな指輪を選び、,632,1,4,5,6,8,14,16,24,七,剛,七,七,剛,剛,ablation,剛,0.0674,0.0674,0.0117
和也と拓也はオフィスで修理をしていた。拓也は近くにあった骨を掴み、,690,1,1,3,4,6,15,17,26,拓,和,拓,拓,和,和,ablation,和,0.1914,0.1914,0.0017
優花と結衣は家にいた。結衣は落ちていたコンピューターを拾い、,124,1,1,3,4,6,11,13,24,結,優,結,結,優,優,ablation,優,0.4141,0.4141,0.0104
レストランの隅で翼と健太が二人きりだった。健太は衝撃的なネックレスを知り、こっそりと,525,1,5,6,7,9,15,17,34,健,翼,健,健,翼,翼,ablation,翼,0.1348,0.1348,0.025
病院で達也と亮が帰り支度をしていた。亮は車の指輪を見つけ、,896,1,4,6,7,8,15,16,23,亮,達,亮,亮,達,達,ablation,達,0.1738,0.1738,0.0162
山で美月と七海が帰り支度をしていた。七海は車のネックレスを見つけ、,933,1,3,5,6,8,15,17,25,七,美,七,七,美,美,eval,山,0.2051,0.1592,0.0131
レストランで翼と拓也が買い物をしていた。拓也は素敵なネックレスを購入し、,237,1,3,4,5,7,12,14,24,拓,翼,拓,拓,翼,翼,ablation,翼,0.2871,0.2871,0.0002
直樹と葵がレストランで席に着いた。葵は熱い指輪を持ってきて、,376,1,1,3,4,5,13,14,22,葵,直,葵,葵,直,直,ablation,直,0.4785,0.4785,0.0011
翼と翔太が山で席に着いた。翔太は熱い指輪を持ってきて、,424,1,1,2,3,5,13,15,23,翔,翼,翔,翔,翼,翼,ablation,翼,0.6055,0.6055,0.0025
レストランで剛と美優が乾杯しようとしていた。美優は冷えた骨を開け、,1026,1,3,4,5,7,14,16,23,美,剛,美,美,剛,剛,ablation,その,0.0281,0.016,0.0049
山で陽菜と翔太が歩いていたとき、翔太は珍しいスナックを見つけ、すぐに,215,1,3,5,6,8,13,15,24,翔,陽,翔,翔,陽,陽,ablation,山,0.5547,0.0123,0.0027
山で翼と哲也が買い物をしていた。哲也は素敵なバスケットボールを購入し、,283,1,3,4,5,7,12,14,24,哲,翼,哲,哲,翼,翼,ablation,山,0.5742,0.1455,0.0012
レストランで優花と達也が帰り支度をしていた。達也は車の飲み物を見つけ、,886,1,3,5,6,8,15,17,24,達,優,達,達,優,優,circuit,優,0.1865,0.1865,0.0027
店でさくらと愛が帰り支度をしていた。愛は車のキスを見つけ、,865,1,3,6,7,8,15,16,23,愛,さ,愛,愛,さ,さ,ablation,店,0.1924,0.0457,0.0102
葵と哲也は駅にいた。哲也は落ちていたスナックを拾い、,135,1,1,2,3,5,11,13,23,哲,葵,哲,哲,葵,葵,ablation,葵,0.3125,0.3125,0.0005
病院で葵と陽菜が乾杯しようとしていた。陽菜は冷えたキスを開け、,1041,1,4,5,6,8,15,17,25,陽,葵,陽,陽,葵,葵,ablation,葵,0.7188,0.7188,0.002
レストランで美優と大輔が話していた。大輔はネックレスを取り出すと、,21,1,3,5,6,8,12,14,22,大,美,大,大,美,美,ablation,美,0.3203,0.3203,0.0159
庭で亮と翔太が買い物をしていた。翔太は素敵なキスを購入し、,225,1,3,4,5,7,12,14,23,翔,亮,翔,翔,亮,亮,ablation,亮,0.3223,0.3223,0.002
美月と翔太は店で休憩していた。翔太は携帯の画面にある骨を表示し、,794,1,1,3,4,6,13,15,27,翔,美,翔,翔,美,美,ablation,美,0.582,0.582,0.0042
家で彩と一輝が本棚を見ていた。一輝は面白そうなコンピューターを選び、,628,1,3,4,5,7,13,15,25,一,彩,一,一,彩,彩,ablation,彩,0.6445,0.6445,0.0081
庭で直人と陽菜が乾杯しようとしていた。陽菜は冷えたバスケットボールを開け、,1019,1,3,5,5,7,14,16,25,陽,直,陽,陽,直,直,ablation,直,0.1934,0.1934,0.0007
翼と陽菜は山の図書館にいた。陽菜は借りていたキスを読み終え、,1001,1,1,2,3,5,15,17,27,陽,翼,陽,陽,翼,翼,circuit,翼,0.5078,0.5078,0.0009
レストランで美月と陽菜が練習していた。陽菜はコンピューターをキャッチすると、力強く,308,1,3,5,6,8,13,15,27,陽,美,陽,陽,美,美,ablation,、,0.0574,0.0024,0.001
店で陸と陽菜が練習していた。陽菜は飲み物をキャッチすると、力強く,294,1,3,4,5,7,12,14,24,陽,陸,陽,陽,陸,陸,ablation,投,0.0679,0.0067,0.0011
剛と七海はオフィスで修理をしていた。七海は近くにあったキスを掴み、,689,1,1,2,3,5,14,16,26,七,剛,七,七,剛,剛,ablation,剛,0.0322,0.0322,0.0104
家で愛と拓也が帰り支度をしていた。拓也は車のスナックを見つけ、,919,1,3,4,5,7,14,16,24,拓,愛,拓,拓,愛,愛,eval,家,0.1162,0.0623,0.0048
駅で愛と大輔が準備をしていた。大輔は余分なスナックを持っていたので、,783,1,4,5,6,8,13,15,26,大,愛,大,大,愛,愛,ablation,大,0.1226,0.1226,0.1226
和也と達也が店で席に着いた。達也は熱いバスケットボールを持ってきて、,363,1,1,3,4,6,14,16,25,達,和,達,達,和,和,ablation,和,0.3242,0.3242,0.0002
病院で翼と達也が練習していた。達也はネックレスをキャッチすると、力強く,325,1,4,5,6,8,13,15,26,達,翼,達,達,翼,翼,ablation,�,0.0403,0.0102,0.0001
家で杏奈と葵が仕事をしていた。葵は新しい飲み物を作成し、その内容を,486,1,3,5,6,7,11,12,23,葵,杏,葵,葵,杏,杏,ablation,杏,0.2637,0.2637,0.0008
店で翼と結衣が話していた。結衣はネックレスを取り出すと、,5,1,3,4,5,7,11,13,21,結,翼,結,結,翼,翼,ablation,店,0.167,0.0579,0.0095
レストランで陸と優菜が仕事をしていた。優菜は新しいスナックを作成し、その内容を,455,1,3,4,5,7,11,13,25,優,陸,優,優,陸,陸,ablation,陸,0.1128,0.1128,0.0032
駅で美月と亮が乾杯しようとしていた。亮は冷えたスナックを開け、,1071,1,4,6,7,8,15,16,25,亮,美,亮,亮,美,美,ablation,美,0.4141,0.4141,0.0002
庭で美月と結衣が準備をしていた。結衣は余分なキスを持っていたので、,729,1,3,5,6,8,13,15,25,結,美,結,結,美,美,ablation,美,0.2217,0.2217,0.03
家で拓也と翔太が練習していた。翔太は指輪をキャッチすると、力強く,336,1,3,5,6,8,13,15,25,翔,拓,翔,翔,拓,拓,ablation,手,0.0403,0.0002,0.001
結衣と翔太は庭にいた。翔太は落ちていた飲み物を拾い、,86,1,1,3,4,6,11,13,22,翔,結,翔,翔,結,結,eval,結,0.8008,0.8008,0.0009
亮と翔太が病院で席に着いた。翔太は熱い骨を持ってきて、,394,1,1,2,3,5,14,16,23,翔,亮,翔,翔,亮,亮,ablation,亮,0.3984,0.3984,0.0094
学校で優菜と涼太が本棚を見ていた。涼太は面白そうな骨を選び、,602,1,3,5,6,8,14,16,23,涼,優,涼,涼,優,優,ablation,優,0.5078,0.5078,0.0053
学校で葵と一輝が話していた。一輝はバスケットボールを取り出すと、,27,1,3,4,5,7,11,13,21,一,葵,一,一,葵,葵,ablation,葵,0.4023,0.4023,0.0137
美優と愛が庭で席に着いた。愛は熱いバスケットボールを持ってきて、,371,1,1,3,4,5,13,14,23,愛,美,愛,愛,美,美,ablation,美,0.5156,0.5156,0.0045
哲也と大輔が山で席に着いた。大輔は熱いネックレスを持ってきて、,429,1,1,3,4,6,14,16,25,大,哲,大,大,哲,哲,ablation,哲,0.5625,0.5625,0.0015
美優と愛が駅で席に着いた。愛は熱いスナックを持ってきて、,423,1,1,3,4,5,14,15,24,愛,美,愛,愛,美,美,ablation,美,0.459,0.459,0.0048
家で直人と健太が話していた。健太は指輪を取り出すと、,48,1,3,5,5,7,11,13,20,健,直,健,健,直,直,ablation,直,0.1387,0.1387,0.001
美月と亮は学校にいた。亮は落ちていたバスケットボールを拾い、,99,1,1,3,4,5,10,11,21,亮,美,亮,亮,美,美,ablation,美,0.668,0.668,0.0002
学校で愛と大輔が買い物をしていた。大輔は素敵な飲み物を購入し、,246,1,3,4,5,7,12,14,23,大,愛,大,大,愛,愛,ablation,学校,0.4805,0.1768,0.0187
家で直人と陽菜が帰り支度をしていた。陽菜は車のコンピューターを見つけ、,916,1,3,5,5,7,14,16,25,陽,直,陽,陽,直,直,circuit,直,0.1895,0.1895,0.0074
店で七海と愛が準備をしていた。愛は余分なコンピューターを持っていたので、,724,1,3,5,6,7,12,13,25,愛,七,愛,愛,七,七,ablation,七,0.2266,0.2266,0.0165
