prompt,prompt_id,prefix,IO,connector,S1,action1,S2,action2,length,wrong_token,correct_token,S1_token,S2_token,IO_token,label,split,top_answer,top_answer_prob,correct_prob,wrong_prob
杏奈と真央はレストランで休憩していた。雄大は携帯の画面にあるコンピューターを表示し、,812,1,1,3,4,6,13,15,30,結,優,結,結,優,優,ablation,杏,0.0674,0.0013,0.0007
家の隅で美優と優花が二人きりだった。遥は衝撃的な骨を知り、こっそりと,554,1,4,6,5,7,15,16,31,健,愛,健,健,愛,愛,eval,美,0.0708,0.0007,0.0002
庭で七海と優花が話していた。加奈は骨を取り出すと、,10,1,3,5,6,8,12,14,20,陽,哲,陽,陽,哲,哲,ablation,七,0.0781,0.0,0.0003
美月と優菜は学校で休憩していた。杏奈は携帯の画面にあるスナックを表示し、,823,1,1,3,4,6,13,15,29,哲,一,哲,哲,一,一,ablation,美,0.1826,0.0059,0.0
美月と花は山にいた。裕太は落ちていたコンピューターを拾い、,140,1,1,3,4,5,10,12,23,亮,さ,亮,亮,さ,さ,circuit,美,0.1396,0.0018,0.0
和也と里奈は店で修理をしていた。大樹は近くにあったバスケットボールを掴み、,651,1,1,3,4,6,13,15,26,翔,美,翔,翔,美,美,eval,リ,0.0325,0.0003,0.0001
庭で美優と加奈が帰り支度をしていた。雄大は車の骨を見つけ、,874,1,3,5,6,8,15,17,23,大,結,大,大,結,結,circuit,それを,0.043,0.0008,0.0033
美羽と花は家にいた。裕太は落ちていた指輪を拾い、,120,1,1,3,4,5,10,12,21,翔,亮,翔,翔,亮,亮,eval,美,0.1504,0.0,0.0001
庭で優花と里奈が準備をしていた。智也は余分なネックレスを持っていたので、,733,1,3,5,6,8,13,15,26,大,和,大,大,和,和,ablation,それを,0.0449,0.0014,0.0013
山で里奈と蓮が乾杯しようとしていた。裕太は冷えたキスを開け、,1073,1,3,5,6,7,14,16,24,陽,亮,陽,陽,亮,亮,ablation,里,0.1201,0.0,0.0003
学校で優菜と智也が練習していた。蓮はコンピューターをキャッチすると、力強く,316,1,3,5,6,8,13,14,26,健,愛,健,健,愛,愛,ablation,「,0.0303,0.0002,0.0005
山で達也と優花が練習していた。彩はキスをキャッチすると、力強く,353,1,3,5,6,8,13,14,24,翔,愛,翔,翔,愛,愛,ablation,抱,0.0466,0.0013,0.0
一輝と誠は山にいた。加奈は落ちていたバスケットボールを拾い、,139,1,1,3,4,5,10,12,22,翔,愛,翔,翔,愛,愛,ablation,一,0.0479,0.0004,0.0002
病院で美羽と裕太が練習していた。雄大はキスをキャッチすると、力強く,321,1,4,6,7,9,14,16,26,和,優,和,和,優,優,eval,美,0.1025,0.0084,0.0
店で翼と美月が帰り支度をしていた。大樹は車の骨を見つけ、,866,1,3,4,5,7,14,16,22,美,葵,美,美,葵,葵,ablation,美,0.0781,0.0,0.0781
駅で哲也と優菜が買い物をしていた。誠は素敵なキスを購入し、,273,1,4,6,7,9,14,15,24,大,愛,大,大,愛,愛,ablation,哲,0.1167,0.0013,0.0023
剛と千尋は山で修理をしていた。雄大は近くにあった指輪を掴み、,712,1,1,2,3,5,12,14,24,結,愛,結,結,愛,愛,ablation,千,0.1543,0.0003,0.0007
里奈と花は学校にいた。光は落ちていたバスケットボールを拾い、,99,1,1,3,4,5,10,11,21,葵,和,葵,葵,和,和,ablation,花,0.064,0.0004,0.0
涼太と彩はレストランにいた。香織は落ちていたスナックを拾い、,95,1,1,3,4,5,10,13,23,七,�,七,七,�,�,ablation,涼,0.2949,0.0,0.0
駅で翼と里奈が買い物をしていた。杏奈は素敵なバスケットボールを購入し、,275,1,4,5,6,8,13,15,25,結,葵,結,結,葵,葵,ablation,翼,0.3633,0.0011,0.002
庭の隅で陸と花が二人きりだった。杏奈は衝撃的なコンピューターを知り、こっそりと,516,1,5,6,7,8,14,16,34,葵,和,葵,葵,和,和,ablation,彼,0.0571,0.0002,0.0001
レストランで翼と智也が歩いていたとき、杏奈は珍しい骨を見つけ、すぐに,162,1,3,4,5,7,12,14,21,大,亮,大,大,亮,亮,ablation,翼,0.083,0.0,0.0022
病院で里奈と真央が乾杯しようとしていた。雄大は冷えた骨を開け、,1042,1,4,6,7,9,16,18,25,哲,優,哲,哲,優,優,circuit,真,0.0605,0.0004,0.0
庭で亮と涼太が本棚を見ていた。直樹は面白そうなネックレスを選び、,589,1,3,4,5,7,13,15,24,翔,愛,翔,翔,愛,愛,ablation,亮,0.2344,0.0003,0.0001
里奈と花はレストランで修理をしていた。遥は近くにあった骨を掴み、,666,1,1,3,4,5,12,13,22,亮,一,亮,亮,一,一,ablation,里,0.0491,0.0067,0.0
店で葵と優菜が話していた。大樹はバスケットボールを取り出すと、,3,1,3,4,5,7,11,13,21,愛,さ,愛,愛,さ,さ,ablation,葵,0.0898,0.0061,0.0002
学校で遥と加奈が乾杯しようとしていた。雄大は冷えた指輪を開け、,1032,1,3,4,5,7,14,16,24,翔,誠,翔,翔,誠,誠,ablation,加,0.0557,0.0002,0.0
優花と直樹は山の図書館にいた。千尋は借りていたコンピューターを読み終え、,1004,1,1,3,4,6,16,18,30,結,涼,結,結,涼,涼,ablation,優,0.0518,0.0002,0.0018
哲也と七海が家で席に着いた。優花は熱い飲み物を持ってきて、,414,1,1,3,4,6,14,16,24,翔,大,翔,翔,大,大,ablation,哲,0.1426,0.0009,0.0
家の隅で里奈と美羽が二人きりだった。誠は衝撃的なスナックを知り、こっそりと,559,1,4,6,7,9,15,16,33,健,亮,健,健,亮,亮,ablation,二人,0.1553,0.0,0.0
家で七海と一輝が買い物をしていた。真央は素敵なスナックを購入し、,271,1,3,5,6,8,13,15,25,拓,哲,拓,拓,哲,哲,ablation,七,0.1699,0.0,0.0
レストランで葵と杏奈が乾杯しようとしていた。光は冷えたキスを開け、,1025,1,3,4,5,7,14,15,23,亮,一,亮,亮,一,一,circuit,葵,0.1157,0.0065,0.0
優花と里奈は店で修理をしていた。蓮は近くにあったバスケットボールを掴み、,651,1,1,3,4,6,13,14,25,健,葵,健,健,葵,葵,ablation,優,0.0339,0.0001,0.0004
駅で和也と直樹が仕事をしていた。遥は新しい指輪を作成し、その内容を,488,1,4,6,7,9,13,14,25,一,葵,一,一,葵,葵,ablation,和,0.1387,0.0,0.0029
智也と蓮は店にいた。美穂は落ちていたスナックを拾い、,79,1,1,3,4,5,10,13,23,和,�,和,和,�,�,ablation,二人,0.0381,0.0,0.0006
和也と優菜はオフィスの図書館にいた。雄大は借りていた骨を読み終え、,978,1,1,3,4,6,18,20,29,拓,哲,拓,拓,哲,哲,ablation,和,0.0427,0.0001,0.0
涼太と隼人はレストランにいた。美穂は落ちていた指輪を拾い、,88,1,1,3,4,6,10,13,22,達,美,達,達,美,美,ablation,涼,0.2393,0.0047,0.0001
駅で陸と杏奈が帰り支度をしていた。雄大は車のスナックを見つけ、,927,1,4,5,6,8,15,17,25,哲,剛,哲,哲,剛,剛,eval,杏,0.0356,0.0,0.0001
一輝と優花がオフィスで席に着いた。美羽は熱い骨を持ってきて、,402,1,1,3,4,6,16,18,25,結,達,結,結,達,達,ablation,一,0.104,0.0,0.0002
和也と里奈は学校の図書館にいた。真央は借りていた飲み物を読み終え、,966,1,1,3,4,6,16,18,28,翔,結,翔,翔,結,結,eval,和,0.0991,0.0005,0.0
庭の隅で涼太と優菜が二人きりだった。裕太は衝撃的なネックレスを知り、こっそりと,517,1,5,7,8,10,16,18,35,哲,美,哲,哲,美,美,ablation,優,0.0688,0.0013,0.0
駅で美羽と修が話していた。香織は飲み物を取り出すと、,62,1,4,6,7,8,12,15,22,哲,�,哲,哲,�,�,ablation,美,0.1436,0.0,0.0
駅で遥と大樹が本棚を見ていた。真央は面白そうなバスケットボールを選び、,635,1,4,5,6,8,14,16,25,美,彩,美,美,彩,彩,ablation,大,0.1846,0.0001,0.0004
学校でさくらと陸が仕事をしていた。千尋は新しい飲み物を作成し、その内容を,462,1,3,6,7,8,12,14,25,陽,結,陽,陽,結,結,ablation,陸,0.123,0.0003,0.0
学校でさくらと里奈が帰り支度をしていた。遥は車のネックレスを見つけ、,893,1,3,6,7,9,16,17,25,翔,陽,翔,翔,陽,陽,ablation,里,0.061,0.0001,0.0
店で大樹と真央が歩いていたとき、雄大は珍しいネックレスを見つけ、すぐに,149,1,3,5,6,8,13,15,24,達,一,達,達,一,一,ablation,店,0.1553,0.0014,0.0001
和也と直樹は店で修理をしていた。優菜は近くにあったスナックを掴み、,655,1,1,3,4,6,13,15,26,健,美,健,健,美,美,ablation,店,0.0432,0.0004,0.0001
庭で七海と涼太が練習していた。裕太は飲み物をキャッチすると、力強く,302,1,3,5,6,8,13,15,25,陽,哲,陽,陽,哲,哲,ablation,投,0.103,0.0,0.0002
レストランで聡と裕太が仕事をしていた。美穂は新しいキスを作成し、その内容を,449,1,3,5,6,8,12,15,26,美,剛,美,美,剛,剛,ablation,�,0.1895,0.0,0.0114
病院で哲也と美月が乾杯しようとしていた。和也は冷えた飲み物を開け、,1046,1,4,6,7,9,16,18,26,健,拓,健,健,拓,拓,ablation,美,0.1514,0.0,0.0002
家の隅で葵と大樹が二人きりだった。雄大は衝撃的な指輪を知り、こっそりと,552,1,4,5,6,8,14,16,32,拓,愛,拓,拓,愛,愛,ablation,葵,0.3008,0.0005,0.0
隼人と聡は山の図書館にいた。千尋は借りていたスナックを読み終え、,1007,1,1,3,3,5,15,17,28,優,剛,優,優,剛,剛,eval,二人,0.024,0.0,0.0004
和也と涼太は山で修理をしていた。直樹は近くにあったキスを掴み、,713,1,1,3,4,6,13,15,25,結,美,結,結,美,美,ablation,涼,0.0674,0.0004,0.0009
さくらと一輝は店で修理をしていた。葵は近くにあったキスを掴み、,649,1,1,4,5,7,14,15,25,陽,健,陽,陽,健,健,ablation,一,0.0986,0.0,0.0005
駅の隅で直樹と杏奈が二人きりだった。千尋は衝撃的なコンピューターを知り、こっそりと,564,1,6,8,9,11,17,19,37,大,美,大,大,美,美,ablation,直,0.0752,0.0003,0.001
病院で涼太と里奈が買い物をしていた。光は素敵な骨を購入し、,250,1,4,6,7,9,14,15,23,陽,亮,陽,陽,亮,亮,circuit,涼,0.1069,0.0002,0.0014
和也と千尋はレストランにいた。裕太は落ちていた骨を拾い、,90,1,1,3,4,6,11,13,21,陽,拓,陽,陽,拓,拓,eval,和,0.0767,0.0001,0.0002
優花と直樹は家の図書館にいた。陸は借りていたネックレスを読み終え、,989,1,1,3,4,6,15,16,27,健,翼,健,健,翼,翼,ablation,優,0.0762,0.0001,0.0001
学校で杏奈と裕太が本棚を見ていた。真央は面白そうなコンピューターを選び、,604,1,3,5,6,8,14,16,26,七,美,七,七,美,美,ablation,裕,0.0718,0.0013,0.0001
病院で優花と里奈が歩いていたとき、花は珍しいキスを見つけ、すぐに,177,1,4,6,7,9,5,6,23,大,翼,大,大,翼,翼,ablation,里,0.125,0.0,0.0018
駅で花と杏奈が本棚を見ていた。真央は面白そうなバスケットボールを選び、,635,1,4,5,6,8,14,16,25,七,葵,七,七,葵,葵,circuit,杏,0.126,0.0006,0.0002
病院の隅で美月と里奈が二人きりだった。花は衝撃的なスナックを知り、こっそりと,543,1,6,8,9,11,17,18,35,大,葵,大,大,葵,葵,ablation,二人,0.1104,0.0,0.001
家で彩と陸が買い物をしていた。花は素敵なスナックを購入し、,271,1,3,4,5,6,11,12,22,葵,翼,葵,葵,翼,翼,ablation,彩,0.2051,0.0001,0.0
山で剛と優菜が帰り支度をしていた。遥は車の指輪を見つけ、,928,1,3,4,5,7,14,15,22,葵,美,葵,葵,美,美,circuit,山,0.061,0.0009,0.0
オフィスで里奈と裕太が買い物をしていた。誠は素敵なスナックを購入し、,263,1,5,7,8,10,15,16,26,七,剛,七,七,剛,剛,ablation,裕,0.0615,0.0,0.0001
山で涼太と加奈が本棚を見ていた。雄大は面白そうなキスを選び、,641,1,3,5,6,8,14,16,24,大,哲,大,大,哲,哲,ablation,山,0.1006,0.0,0.0017
店で陸と美羽が準備をしていた。千尋は余分な骨を持っていたので、,722,1,3,4,5,7,12,14,23,健,愛,健,健,愛,愛,ablation,店,0.062,0.0003,0.0002
レストランで優花と陸が話していた。雄大はキスを取り出すと、,17,1,3,5,6,7,11,13,20,翔,亮,翔,翔,亮,亮,ablation,優,0.1562,0.0,0.0001
学校で涼太と優菜が仕事をしていた。智也は新しい飲み物を作成し、その内容を,462,1,3,5,6,8,12,14,25,健,美,健,健,美,美,ablation,優,0.052,0.0002,0.0001
杏奈と千尋は店の図書館にいた。裕太は借りていた飲み物を読み終え、,942,1,1,3,4,6,16,18,28,結,里,結,結,里,里,ablation,店,0.0408,0.0,0.0015
病院の隅で亮と美月が二人きりだった。杏奈は衝撃的なキスを知り、こっそりと,537,1,6,7,8,10,16,18,34,大,愛,大,大,愛,愛,ablation,亮,0.0703,0.0005,0.0006
千尋と大樹は病院で修理をしていた。光は近くにあった飲み物を掴み、,686,1,1,3,4,6,14,15,25,大,陸,大,大,陸,陸,circuit,千,0.1582,0.0001,0.0121
裕太と真央はオフィスの図書館にいた。雄大は借りていた骨を読み終え、,978,1,1,3,4,6,18,20,29,達,優,達,達,優,優,ablation,裕,0.209,0.001,0.0001
店で優花と美羽が乾杯しようとしていた。真央は冷えた飲み物を開け、,1014,1,3,5,6,8,15,17,25,拓,一,拓,拓,一,一,circuit,美,0.0767,0.0134,0.0
レストランの隅で和也と美羽が二人きりだった。智也は衝撃的な骨を知り、こっそりと,522,1,5,7,8,10,16,18,33,大,拓,大,大,拓,拓,ablation,和,0.1484,0.0,0.0007
オフィスで亮と美月が買い物をしていた。優花は素敵なネックレスを購入し、,261,1,5,6,7,9,14,16,26,大,愛,大,大,愛,愛,ablation,亮,0.1465,0.0018,0.002
オフィスで一輝と優菜が練習していた。加奈はネックレスをキャッチすると、力強く,333,1,5,7,8,10,15,17,28,大,哲,大,大,哲,哲,ablation,振り,0.0413,0.0,0.0003
涼太と優花はレストランで修理をしていた。雄大は近くにあったネックレスを掴み、,669,1,1,3,4,6,13,15,26,翔,美,翔,翔,美,美,ablation,涼,0.1973,0.0014,0.0001
家で達也と里奈が買い物をしていた。杏奈は素敵なネックレスを購入し、,269,1,3,5,6,8,13,15,25,陽,哲,陽,陽,哲,哲,eval,家,0.2021,0.0,0.0002
学校で涼太と優花が買い物をしていた。智也は素敵な飲み物を購入し、,246,1,3,5,6,8,13,15,24,拓,美,拓,拓,美,美,ablation,涼,0.1011,0.0016,0.0
家で蓮と聡が帰り支度をしていた。修は車の飲み物を見つけ、,918,1,3,4,5,7,14,15,22,葵,�,葵,葵,�,�,ablation,車,0.0211,0.0,0.0002
駅で智也と杏奈が本棚を見ていた。光は面白そうな指輪を選び、,632,1,4,6,7,9,15,16,24,七,剛,七,七,剛,剛,ablation,杏,0.1143,0.0,0.0001
智也と杏奈はオフィスで修理をしていた。裕太は近くにあった骨を掴み、,690,1,1,3,4,6,15,17,26,拓,和,拓,拓,和,和,ablation,杏,0.0525,0.0002,0.0001
裕太と加奈は家にいた。雄大は落ちていたコンピューターを拾い、,124,1,1,3,4,6,11,13,24,結,優,結,結,優,優,ablation,裕,0.1108,0.0008,0.0004
レストランの隅で優花と陸が二人きりだった。千尋は衝撃的なネックレスを知り、こっそりと,525,1,5,7,8,9,15,17,34,健,翼,健,健,翼,翼,ablation,優,0.0608,0.0001,0.0001
病院で蓮と遥が帰り支度をしていた。雄大は車の指輪を見つけ、,896,1,4,5,6,7,14,16,23,亮,達,亮,亮,達,達,ablation,それを,0.053,0.0,0.0
山で直樹と里奈が帰り支度をしていた。真央は車のネックレスを見つけ、,933,1,3,5,6,8,15,17,25,七,美,七,七,美,美,eval,山,0.0698,0.0015,0.0001
レストランで優花と誠が買い物をしていた。大樹は素敵なネックレスを購入し、,237,1,3,5,6,7,12,14,24,拓,翼,拓,拓,翼,翼,ablation,誠,0.2227,0.0,0.0
彩と里奈がレストランで席に着いた。誠は熱い指輪を持ってきて、,376,1,1,2,3,5,13,14,22,葵,直,葵,葵,直,直,ablation,里,0.1206,0.0004,0.0
剛と千尋が山で席に着いた。大樹は熱い指輪を持ってきて、,424,1,1,2,3,5,13,15,23,翔,翼,翔,翔,翼,翼,ablation,千,0.2383,0.0,0.0
レストランで里奈と蓮が乾杯しようとしていた。杏奈は冷えた骨を開け、,1026,1,3,5,6,7,14,16,23,美,剛,美,美,剛,剛,ablation,里,0.0452,0.0,0.0003
山で健太と達也が歩いていたとき、美月は珍しいスナックを見つけ、すぐに,215,1,3,5,6,8,13,15,24,翔,陽,翔,翔,陽,陽,ablation,山,0.1348,0.0003,0.0
山で彩と里奈が買い物をしていた。加奈は素敵なバスケットボールを購入し、,283,1,3,4,5,7,12,14,24,哲,翼,哲,哲,翼,翼,ablation,彩,0.3809,0.0,0.0
レストランで里奈と千尋が帰り支度をしていた。真央は車の飲み物を見つけ、,886,1,3,5,6,8,15,17,24,達,優,達,達,優,優,circuit,リ,0.0476,0.0003,0.0
店で剛と里奈が帰り支度をしていた。雄大は車のキスを見つけ、,865,1,3,4,5,7,14,16,23,愛,さ,愛,愛,さ,さ,ablation,車,0.0277,0.0051,0.0007
美月と蓮は駅にいた。千尋は落ちていたスナックを拾い、,135,1,1,3,4,5,11,13,23,哲,葵,哲,哲,葵,葵,ablation,美,0.1357,0.0001,0.0
病院で和也と陸が乾杯しようとしていた。加奈は冷えたキスを開け、,1041,1,4,6,7,8,15,17,25,陽,葵,陽,陽,葵,葵,ablation,和,0.085,0.0,0.0002
レストランで和也と優花が話していた。優菜はネックレスを取り出すと、,21,1,3,5,6,8,6,8,22,大,美,大,大,美,美,ablation,和,0.1318,0.004,0.0013
庭で美月と直樹が買い物をしていた。修は素敵なキスを購入し、,225,1,3,5,6,8,13,14,23,翔,亮,翔,翔,亮,亮,ablation,美,0.208,0.0,0.0
和也と大樹は店で休憩していた。加奈は携帯の画面にある骨を表示し、,794,1,1,3,4,6,13,15,27,翔,美,翔,翔,美,美,ablation,和,0.1377,0.0005,0.0
家で裕太と遥が本棚を見ていた。雄大は面白そうなコンピューターを選び、,628,1,3,5,6,7,13,15,25,一,彩,一,一,彩,彩,ablation,家,0.0405,0.0001,0.0055
庭で未来と美羽が乾杯しようとしていた。真央は冷えたバスケットボールを開け、,1019,1,3,4,5,7,14,16,25,陽,直,陽,陽,直,直,ablation,美,0.2012,0.0005,0.0002
剛と美羽は山の図書館にいた。裕太は借りていたキスを読み終え、,1001,1,1,2,3,5,15,17,27,陽,翼,陽,陽,翼,翼,circuit,美,0.0703,0.0001,0.0004
レストランで涼太と直樹が練習していた。杏奈はコンピューターをキャッチすると、力強く,308,1,3,5,6,8,13,15,27,陽,美,陽,陽,美,美,ablation,「,0.0459,0.0001,0.0001
店で智也と花が練習していた。裕太は飲み物をキャッチすると、力強く,294,1,3,5,6,7,12,14,24,陽,陸,陽,陽,陸,陸,ablation,投,0.0972,0.0002,0.0001
美羽と杏奈はオフィスで修理をしていた。遥は近くにあったキスを掴み、,689,1,1,3,4,6,15,16,26,七,剛,七,七,剛,剛,ablation,美,0.0801,0.0,0.0
家で哲也と翼が帰り支度をしていた。里奈は車のスナックを見つけ、,919,1,3,5,6,7,14,16,24,拓,愛,拓,拓,愛,愛,eval,翼,0.042,0.001,0.0
駅で七海と花が準備をしていた。真央は余分なスナックを持っていたので、,783,1,4,6,7,8,13,15,26,大,愛,大,大,愛,愛,ablation,七,0.1377,0.0003,0.0029
智也と裕太が店で席に着いた。真央は熱いバスケットボールを持ってきて、,363,1,1,3,4,6,14,16,25,達,和,達,達,和,和,ablation,裕,0.127,0.0007,0.0001
病院で涼太と智也が練習していた。蓮はネックレスをキャッチすると、力強く,325,1,4,6,7,9,14,15,26,達,翼,達,達,翼,翼,ablation,振り,0.041,0.0,0.0
家で修と光が仕事をしていた。雄大は新しい飲み物を作成し、その内容を,486,1,3,4,5,6,10,12,23,葵,杏,葵,葵,杏,杏,ablation,光,0.168,0.0,0.0
店で優菜と智也が話していた。修はネックレスを取り出すと、,5,1,3,5,6,8,12,13,21,結,翼,結,結,翼,翼,ablation,優,0.0786,0.0,0.0012
レストランで智也と杏奈が仕事をしていた。修は新しいスナックを作成し、その内容を,455,1,3,5,6,8,12,13,25,優,陸,優,優,陸,陸,ablation,杏,0.2617,0.0,0.0005
駅で智也と花が乾杯しようとしていた。光は冷えたスナックを開け、,1071,1,4,6,7,8,15,16,25,亮,美,亮,亮,美,美,ablation,智,0.0618,0.0004,0.0
庭で和也と智也が準備をしていた。千尋は余分なキスを持っていたので、,729,1,3,5,6,8,13,15,25,結,美,結,結,美,美,ablation,和,0.1016,0.0008,0.0012
家で和也と優菜が練習していた。裕太は指輪をキャッチすると、力強く,336,1,3,5,6,8,13,15,25,翔,拓,翔,翔,拓,拓,ablation,手,0.0378,0.0,0.0001
里奈と裕太は庭にいた。大樹は落ちていた飲み物を拾い、,86,1,1,3,4,6,11,13,22,翔,結,翔,翔,結,結,eval,裕,0.0413,0.0002,0.0001
美羽と智也が病院で席に着いた。誠は熱い骨を持ってきて、,394,1,1,3,4,6,15,16,23,翔,亮,翔,翔,亮,亮,ablation,美,0.2021,0.0,0.0
学校で裕太と大樹が本棚を見ていた。雄大は面白そうな骨を選び、,602,1,3,5,6,8,14,16,23,涼,優,涼,涼,優,優,ablation,裕,0.0742,0.0033,0.0002
学校で和也と蓮が話していた。裕太はバスケットボールを取り出すと、,27,1,3,5,6,7,11,13,21,一,葵,一,一,葵,葵,ablation,和,0.1387,0.0004,0.01
剛と花が庭で席に着いた。真央は熱いバスケットボールを持ってきて、,371,1,1,2,3,4,12,14,23,愛,美,愛,愛,美,美,ablation,花,0.085,0.0074,0.0016
優菜と杏奈が山で席に着いた。雄大は熱いネックレスを持ってきて、,429,1,1,3,4,6,14,16,25,大,哲,大,大,哲,哲,ablation,優,0.1426,0.0,0.0019
一輝と誠が駅で席に着いた。遥は熱いスナックを持ってきて、,423,1,1,3,4,5,14,15,24,愛,美,愛,愛,美,美,ablation,二人,0.2324,0.0004,0.0011
家で和也と隼人が話していた。雄大は指輪を取り出すと、,48,1,3,5,6,8,11,13,20,健,直,健,健,直,直,ablation,和,0.0457,0.0006,0.0002
蓮と千尋は学校にいた。遥は落ちていたバスケットボールを拾い、,99,1,1,2,3,5,10,11,21,亮,美,亮,亮,美,美,ablation,千,0.1221,0.0005,0.0
学校で涼太と花が買い物をしていた。杏奈は素敵な飲み物を購入し、,246,1,3,5,6,7,12,14,23,大,愛,大,大,愛,愛,ablation,涼,0.1699,0.0003,0.0017
家で未来と優花が帰り支度をしていた。大樹は車のコンピューターを見つけ、,916,1,3,4,5,7,14,16,25,陽,直,陽,陽,直,直,circuit,その,0.0298,0.0006,0.0001
店で優花と花が準備をしていた。修は余分なコンピューターを持っていたので、,724,1,3,5,4,5,12,13,25,愛,七,愛,愛,七,七,ablation,優,0.1348,0.0,0.0004
店の隅で直樹と千尋が二人きりだった。雄大は衝撃的なスナックを知り、こっそりと,511,1,5,7,8,10,16,18,35,健,結,健,健,結,結,ablation,二人,0.1553,0.0003,0.0
店で七海と優菜が本棚を見ていた。智也は面白そうなバスケットボールを選び、,579,1,3,5,6,8,14,16,25,翔,哲,翔,翔,哲,哲,ablation,七,0.1118,0.0001,0.0
