prompt,prompt_id,prefix,IO,and,S1,S1+1,action1,S2,action2,to,length,wrong_token,correct_token,S1_token,S2_token,IO_token,label,split,top_answer,top_answer_prob,correct_prob,wrong_prob
"After the lunch, Kevin and Brian went to the hospital. Brian gave a basketball to",675,1,5,6,7,8,9,13,14,17,18, Brian, Kevin, Brian, Brian, Kevin, Kevin,ablation, the,0.4004,0.2021,0.0003
"While Brian and Sarah were commuting to the station, Sarah gave a drink to",638,1,2,3,4,5,6,11,12,15,16, Sarah, Brian, Sarah, Sarah, Brian, Brian,ablation, Brian,0.4902,0.4902,0.0003
"When Andrew and James got a basketball at the house, James decided to give the basketball to",499,1,2,3,4,5,6,12,13,18,19, James, Andrew, James, James, Andrew, Andrew,ablation, Andrew,0.4688,0.4688,0.0076
"When Brian and James got a necklace at the garden, James decided to give it to",397,1,2,3,4,5,6,12,13,17,18, James, Brian, James, James, Brian, Brian,ablation, Brian,0.2695,0.2695,0.0013
"While Matthew and Christopher were working at the school, Christopher gave a basketball to",539,1,2,3,4,5,6,11,12,15,16, Christopher, Matthew, Christopher, Christopher, Matthew, Matthew,ablation, Matthew,0.7695,0.7695,0.0025
"Then, Ryan and David were working at the station. David decided to give a necklace to",189,1,3,4,5,6,7,12,13,18,19, David, Ryan, David, David, Ryan, Ryan,ablation, Ryan,0.3359,0.3359,0.0019
"Afterwards, Andrew and Daniel went to the restaurant. Daniel gave a drink to",726,1,4,5,6,7,8,12,13,16,17, Daniel, Andrew, Daniel, Daniel, Andrew, Andrew,ablation, Andrew,0.4277,0.4277,0.0037
Friends Jeremy and Robert found a kiss at the station. Robert gave it to,953,1,2,3,4,5,6,12,13,15,16, Robert, Jeremy, Robert, Robert, Jeremy, Jeremy,ablation, Jeremy,0.6133,0.6133,0.0002
The office Amy and Jonathan went to had a drink. Jonathan gave it to,878,1,3,4,5,6,7,12,13,15,16, Jonathan, Amy, Jonathan, Jonathan, Amy, Amy,ablation, Amy,0.6328,0.6328,0.0008
"Afterwards, Daniel and Jessica went to the house. Jessica gave a bone to",754,1,4,5,6,7,8,12,13,16,17, Jessica, Daniel, Jessica, Jessica, Daniel, Daniel,ablation, the,0.3262,0.1855,0.0046
"While Ryan and Jessica were working at the restaurant, Jessica gave a snack to",535,1,2,3,4,5,6,11,12,15,16, Jessica, Ryan, Jessica, Jessica, Ryan, Ryan,ablation, a,0.2617,0.1689,0.0011
"Then, Jonathan and James went to the restaurant. James gave a basketball to",19,1,3,4,5,6,7,11,12,15,16, James, Jonathan, James, James, Jonathan, Jonathan,ablation, Jonathan,0.375,0.375,0.0014
"Then, Andrew and Joseph went to the garden. Joseph gave a kiss to",9,1,3,4,5,6,7,11,12,15,16, Joseph, Andrew, Joseph, Joseph, Andrew, Andrew,ablation, the,0.2402,0.0287,0.0039
"Then, Andrew and Christopher had a long argument. Afterwards Christopher said to",786,1,3,4,5,6,7,12,13,14,15, Christopher, Andrew, Christopher, Christopher, Andrew, Andrew,ablation, Andrew,0.6797,0.6797,0.0004
"While Amy and Jennifer were commuting to the school, Jennifer gave a snack to",607,1,2,3,4,5,6,11,12,15,16, Jennifer, Amy, Jennifer, Jennifer, Amy, Amy,ablation, Amy,0.7383,0.7383,0.0
"Then, William and Jason had a lot of fun at the station. Jason gave a computer to",124,1,3,4,5,6,7,15,16,19,20, Jason, William, Jason, Jason, William, William,ablation, William,0.4473,0.4473,0.0005
"While William and James were working at the garden, James gave a ring to",520,1,2,3,4,5,6,11,12,15,16, James, William, James, James, William, William,ablation, William,0.75,0.75,0.0011
"Then, Andrew and Robert were working at the house. Robert decided to give a ring to",176,1,3,4,5,6,7,12,13,18,19, Robert, Andrew, Robert, Robert, Andrew, Andrew,eval, Andrew,0.3457,0.3457,0.0034
"After Sarah and Daniel went to the school, Daniel gave a kiss to",345,1,2,3,4,5,6,10,11,14,15, Daniel, Sarah, Daniel, Daniel, Sarah, Sarah,ablation, Sarah,0.5273,0.5273,0.002
"Then, Thomas and Andrew went to the office. Andrew gave a bone to",42,1,3,4,5,6,7,11,12,15,16, Andrew, Thomas, Andrew, Andrew, Thomas, Thomas,ablation, the,0.2734,0.2129,0.0003
"Then, Amy and James had a long argument, and afterwards James said to",259,1,3,4,5,6,7,13,14,15,16, James, Amy, James, James, Amy, Amy,eval, Amy,0.3496,0.3496,0.0002
"After the lunch, Sarah and Robert went to the school. Robert gave a ring to",664,1,5,6,7,8,9,13,14,17,18, Robert, Sarah, Robert, Robert, Sarah, Sarah,ablation, Sarah,0.7656,0.7656,0.0001
"Then, Kyle and Ryan had a long argument. Afterwards Ryan said to",777,1,3,4,5,6,7,12,13,14,15, Ryan, Kyle, Ryan, Ryan, Kyle, Kyle,ablation, Kyle,0.7539,0.7539,0.0004
"When Brian and Jason got a necklace at the station, Jason decided to give it to",445,1,2,3,4,5,6,12,13,17,18, Jason, Brian, Jason, Jason, Brian, Brian,ablation, Brian,0.375,0.375,0.0013
Friends William and Joseph found a drink at the garden. Joseph gave it to,910,1,2,3,4,5,6,12,13,15,16, Joseph, William, Joseph, Joseph, William, William,circuit, William,0.4902,0.4902,0.0002
"Then, John and Matthew had a long argument, and afterwards Matthew said to",309,1,3,4,5,6,7,13,14,15,16, Matthew, John, Matthew, Matthew, John, John,circuit, John,0.5898,0.5898,0.0001
"After Rachel and David went to the school, David gave a ring to",344,1,2,3,4,5,6,10,11,14,15, David, Rachel, David, David, Rachel, Rachel,eval, Rachel,0.7148,0.7148,0.0013
"Then, Justin and David had a lot of fun at the restaurant. David gave a kiss to",81,1,3,4,5,6,7,15,16,19,20, David, Justin, David, David, Justin, Justin,ablation, Justin,0.4707,0.4707,0.0011
"Then, William and Sarah had a lot of fun at the office. Sarah gave a drink to",110,1,3,4,5,6,7,15,16,19,20, Sarah, William, Sarah, Sarah, William, William,ablation, William,0.3594,0.3594,0.0005
"Then, Steven and Sarah went to the school. Sarah gave a necklace to",29,1,3,4,5,6,7,11,12,15,16, Sarah, Steven, Sarah, Sarah, Steven, Steven,ablation, Steven,0.3574,0.3574,0.0005
"Afterwards, Joseph and Matthew went to the school. Matthew gave a snack to",735,1,4,5,6,7,8,12,13,16,17, Matthew, Joseph, Matthew, Matthew, Joseph, Joseph,ablation, Joseph,0.3242,0.3242,0.0004
"After Joseph and Christopher went to the hospital, Christopher gave a basketball to",355,1,2,3,4,5,6,10,11,14,15, Christopher, Joseph, Christopher, Christopher, Joseph, Joseph,ablation, the,0.3594,0.0664,0.0002
"Then, David and Daniel had a long argument, and afterwards Daniel said to",290,1,3,4,5,6,7,13,14,15,16, Daniel, David, Daniel, Daniel, David, David,ablation, David,0.7969,0.7969,0.0009
"Then, Mark and Joseph had a lot of fun at the store. Joseph gave a bone to",66,1,3,4,5,6,7,15,16,19,20, Joseph, Mark, Joseph, Joseph, Mark, Mark,ablation, Mark,0.2832,0.2832,0.0003
"Then, Ryan and David were working at the store. David decided to give a computer to",132,1,3,4,5,6,7,12,13,18,19, David, Ryan, David, David, Ryan, Ryan,ablation, Ryan,0.4004,0.4004,0.001
"Then, Andrew and Christopher had a long argument. Afterwards Christopher said to",804,1,3,4,5,6,7,12,13,14,15, Christopher, Andrew, Christopher, Christopher, Andrew, Andrew,ablation, Andrew,0.6797,0.6797,0.0005
"Then, Kyle and Brian were thinking about going to the house. Brian wanted to give a kiss to",241,1,3,4,5,6,7,14,15,20,21, Brian, Kyle, Brian, Brian, Kyle, Kyle,ablation, Kyle,0.1719,0.1719,0.002
"While William and Jason were working at the office, Jason gave a ring to",552,1,2,3,4,5,6,11,12,15,16, Jason, William, Jason, Jason, William, William,ablation, William,0.8672,0.8672,0.0005
"Then, Brian and Ryan went to the house. Ryan gave a computer to",52,1,3,4,5,6,7,11,12,15,16, Ryan, Brian, Ryan, Ryan, Brian, Brian,ablation, Brian,0.4844,0.4844,0.0008
"Then, Justin and Ryan were thinking about going to the school. Ryan wanted to give a snack to",223,1,3,4,5,6,7,14,15,20,21, Ryan, Justin, Ryan, Ryan, Justin, Justin,ablation, the,0.2422,0.1475,0.0015
"Then, Brian and Michael had a long argument, and afterwards Michael said to",271,1,3,4,5,6,7,13,14,15,16, Michael, Brian, Michael, Michael, Brian, Brian,eval, Brian,0.6406,0.6406,0.0006
"While Steven and Ryan were commuting to the station, Ryan gave a necklace to",637,1,2,3,4,5,6,11,12,15,16, Ryan, Steven, Ryan, Ryan, Steven, Steven,ablation, Steven,0.8477,0.8477,0.0006
"Then, Sarah and James had a long argument, and afterwards James said to",294,1,3,4,5,6,7,13,14,15,16, James, Sarah, James, James, Sarah, Sarah,ablation, Sarah,0.4629,0.4629,0.0029
"Then, Adam and Jonathan went to the school. Jonathan gave a ring to",24,1,3,4,5,6,7,11,12,15,16, Jonathan, Adam, Jonathan, Jonathan, Adam, Adam,ablation, Adam,0.3965,0.3965,0.0021
"Then, David and Christopher had a long argument, and afterwards Christopher said to",284,1,3,4,5,6,7,13,14,15,16, Christopher, David, Christopher, Christopher, David, David,ablation, David,0.5078,0.5078,0.0004
The garden John and Christopher went to had a ring. Christopher gave it to,840,1,3,4,5,6,7,12,13,15,16, Christopher, John, Christopher, Christopher, John, John,ablation, John,0.6094,0.6094,0.0003
Friends Ryan and Jessica found a bone at the house. Jessica gave it to,946,1,2,3,4,5,6,12,13,15,16, Jessica, Ryan, Jessica, Jessica, Ryan, Ryan,ablation, Ryan,0.2617,0.2617,0.0005
"When Jennifer and Michael got a kiss at the hospital, Michael decided to give it to",417,1,2,3,4,5,6,12,13,17,18, Michael, Jennifer, Michael, Michael, Jennifer, Jennifer,ablation, her,0.3535,0.332,0.0027
"While Sarah and Robert were commuting to the house, Robert gave a snack to",631,1,2,3,4,5,6,11,12,15,16, Robert, Sarah, Robert, Robert, Sarah, Sarah,ablation, Sarah,0.3867,0.3867,0.0003
"While Justin and Robert were commuting to the hospital, Robert gave a drink to",614,1,2,3,4,5,6,11,12,15,16, Robert, Justin, Robert, Robert, Justin, Justin,ablation, Justin,0.6289,0.6289,0.0003
"After Thomas and Sarah went to the garden, Sarah gave a basketball to",331,1,2,3,4,5,6,10,11,14,15, Sarah, Thomas, Sarah, Sarah, Thomas, Thomas,ablation, Thomas,0.5742,0.5742,0.0022
"Then, Matthew and Christopher were thinking about going to the store. Christopher wanted to give a ring to",192,1,3,4,5,6,7,14,15,20,21, Christopher, Matthew, Christopher, Christopher, Matthew, Matthew,ablation, his,0.3965,0.165,0.0006
"While Anthony and John were working at the restaurant, John gave a basketball to",531,1,2,3,4,5,6,11,12,15,16, John, Anthony, John, John, Anthony, Anthony,circuit, Anthony,0.8086,0.8086,0.0007
"Then, Joseph and Jessica went to the office. Jessica gave a drink to",46,1,3,4,5,6,7,11,12,15,16, Jessica, Joseph, Jessica, Jessica, Joseph, Joseph,ablation, the,0.3262,0.2383,0.0009
"Afterwards, Jacob and James went to the restaurant. James gave a computer to",724,1,4,5,6,7,8,12,13,16,17, James, Jacob, James, James, Jacob, Jacob,ablation, Jacob,0.6562,0.6562,0.0004
"While Joseph and Christopher were working at the restaurant, Christopher gave a drink to",534,1,2,3,4,5,6,11,12,15,16, Christopher, Joseph, Christopher, Christopher, Joseph, Joseph,ablation, a,0.3594,0.0908,0.0007
"After the lunch, Daniel and Jessica went to the store. Jessica gave a computer to",644,1,5,6,7,8,9,13,14,17,18, Jessica, Daniel, Jessica, Jessica, Daniel, Daniel,ablation, the,0.373,0.2734,0.0017
"Then, William and David had a long argument, and afterwards David said to",256,1,3,4,5,6,7,13,14,15,16, David, William, David, David, William, William,ablation, William,0.4668,0.4668,0.0029
"Afterwards, Jessica and Michael went to the restaurant. Michael gave a bone to",722,1,4,5,6,7,8,12,13,16,17, Michael, Jessica, Michael, Michael, Jessica, Jessica,ablation, the,0.4824,0.1895,0.0001
"Then, Joseph and Matthew went to the store. Matthew gave a kiss to",1,1,3,4,5,6,7,11,12,15,16, Matthew, Joseph, Matthew, Matthew, Joseph, Joseph,ablation, Joseph,0.2734,0.2734,0.0008
"Then, Joseph and John had a long argument. Afterwards John said to",811,1,3,4,5,6,7,12,13,14,15, John, Joseph, John, John, Joseph, Joseph,circuit, Joseph,0.8008,0.8008,0.0008
"While Jason and Michael were commuting to the office, Michael gave a snack to",623,1,2,3,4,5,6,11,12,15,16, Michael, Jason, Michael, Michael, Jason, Jason,ablation, Jason,0.5352,0.5352,0.0
"Then, Andrew and James had a long argument, and afterwards James said to",275,1,3,4,5,6,7,13,14,15,16, James, Andrew, James, James, Andrew, Andrew,ablation, Andrew,0.6719,0.6719,0.0013
"Afterwards, Thomas and Sarah went to the hospital. Sarah gave a bone to",738,1,4,5,6,7,8,12,13,16,17, Sarah, Thomas, Sarah, Sarah, Thomas, Thomas,ablation, the,0.3438,0.0562,0.002
The garden Eric and Andrew went to had a ring. Andrew gave it to,840,1,3,4,5,6,7,12,13,15,16, Andrew, Eric, Andrew, Andrew, Eric, Eric,ablation, Eric,0.6406,0.6406,0.0002
"Afterwards, Sarah and Joseph went to the hospital. Joseph gave a snack to",743,1,4,5,6,7,8,12,13,16,17, Joseph, Sarah, Joseph, Joseph, Sarah, Sarah,eval, the,0.3516,0.0889,0.0005
The garden Richard and William went to had a ring. William gave it to,840,1,3,4,5,6,7,12,13,15,16, William, Richard, William, William, Richard, Richard,ablation, Richard,0.6484,0.6484,0.0005
"When Andrew and Michael got a snack at the school, Michael decided to give the snack to",479,1,2,3,4,5,6,12,13,18,19, Michael, Andrew, Michael, Michael, Andrew, Andrew,eval, Andrew,0.5117,0.5117,0.001
"Then, Brandon and Michael had a lot of fun at the hospital. Michael gave a kiss to",97,1,3,4,5,6,7,15,16,19,20, Michael, Brandon, Michael, Michael, Brandon, Brandon,ablation, the,0.2217,0.1729,0.0004
"Afterwards, James and Michael went to the restaurant. Michael gave a ring to",720,1,4,5,6,7,8,12,13,16,17, Michael, James, Michael, Michael, James, James,circuit, James,0.5195,0.5195,0.0002
"When Jason and Joseph got a snack at the hospital, Joseph decided to give the snack to",487,1,2,3,4,5,6,12,13,18,19, Joseph, Jason, Joseph, Joseph, Jason, Jason,ablation, Jason,0.4492,0.4492,0.0011
"Then, Jennifer and Christopher were working at the garden. Christopher decided to give a drink to",142,1,3,4,5,6,7,12,13,18,19, Christopher, Jennifer, Christopher, Christopher, Jennifer, Jennifer,ablation, the,0.3086,0.165,0.0013
"Afterwards, Brian and Daniel went to the station. Daniel gave a snack to",767,1,4,5,6,7,8,12,13,16,17, Daniel, Brian, Daniel, Daniel, Brian, Brian,ablation, Brian,0.2656,0.2656,0.0011
"Then, Jennifer and Christopher went to the garden. Christopher gave a kiss to",9,1,3,4,5,6,7,11,12,15,16, Christopher, Jennifer, Christopher, Christopher, Jennifer, Jennifer,ablation, Jennifer,0.4023,0.4023,0.001
"After Ryan and John went to the office, John gave a basketball to",363,1,2,3,4,5,6,10,11,14,15, John, Ryan, John, John, Ryan, Ryan,ablation, Ryan,0.8047,0.8047,0.0005
"When Kevin and Robert got a ring at the restaurant, Robert decided to give the ring to",464,1,2,3,4,5,6,12,13,18,19, Robert, Kevin, Robert, Robert, Kevin, Kevin,ablation, Kevin,0.5156,0.5156,0.0054
"Afterwards, Sarah and Matthew went to the school. Matthew gave a bone to",730,1,4,5,6,7,8,12,13,16,17, Matthew, Sarah, Matthew, Matthew, Sarah, Sarah,ablation, a,0.1953,0.1426,0.0012
The station Steven and Jessica went to had a necklace. Jessica gave it to,893,1,3,4,5,6,7,12,13,15,16, Jessica, Steven, Jessica, Jessica, Steven, Steven,ablation, Steven,0.7227,0.7227,0.0011
The school William and Justin went to had a ring. Justin gave it to,856,1,3,4,5,6,7,12,13,15,16, Justin, William, Justin, Justin, William, William,ablation, William,0.7578,0.7578,0.0015
The store Emily and Joseph went to had a bone. Joseph gave it to,834,1,3,4,5,6,7,12,13,15,16, Joseph, Emily, Joseph, Joseph, Emily, Emily,ablation, Emily,0.5781,0.5781,0.0007
"After Sarah and Michael went to the restaurant, Michael gave a kiss to",337,1,2,3,4,5,6,10,11,14,15, Michael, Sarah, Michael, Michael, Sarah, Sarah,circuit, Sarah,0.4219,0.4219,0.0016
"Then, Jessica and Michael were thinking about going to the school. Michael wanted to give a kiss to",217,1,3,4,5,6,7,14,15,20,21, Michael, Jessica, Michael, Michael, Jessica, Jessica,ablation, Jessica,0.7539,0.7539,0.0004
"Then, Adam and Christopher had a lot of fun at the hospital. Christopher gave a necklace to",101,1,3,4,5,6,7,15,16,19,20, Christopher, Adam, Christopher, Christopher, Adam, Adam,ablation, Adam,0.4258,0.4258,0.0001
"Then, Kevin and Jonathan were thinking about going to the station. Jonathan wanted to give a necklace to",253,1,3,4,5,6,7,14,15,20,21, Jonathan, Kevin, Jonathan, Jonathan, Kevin, Kevin,ablation, his,0.1738,0.1631,0.0003
"Then, Thomas and Michael had a lot of fun at the school. Michael gave a drink to",94,1,3,4,5,6,7,15,16,19,20, Michael, Thomas, Michael, Michael, Thomas, Thomas,circuit, Thomas,0.6094,0.6094,0.0002
"Then, Mark and Eric went to the house. Eric gave a drink to",54,1,3,4,5,6,7,11,12,15,16, Eric, Mark, Eric, Eric, Mark, Mark,ablation, Mark,0.3613,0.3613,0.0018
"Then, Matthew and Christopher were thinking about going to the school. Christopher wanted to give a necklace to",221,1,3,4,5,6,7,14,15,20,21, Christopher, Matthew, Christopher, Christopher, Matthew, Matthew,ablation, Matthew,0.4277,0.4277,0.0009
"While William and Robert were commuting to the restaurant, Robert gave a bone to",594,1,2,3,4,5,6,11,12,15,16, Robert, William, Robert, Robert, William, William,ablation, William,0.208,0.208,0.0002
"While Kevin and Sarah were commuting to the hospital, Sarah gave a necklace to",613,1,2,3,4,5,6,11,12,15,16, Sarah, Kevin, Sarah, Sarah, Kevin, Kevin,ablation, Kevin,0.8672,0.8672,0.0001
"When Adam and Robert got a drink at the restaurant, Robert decided to give the drink to",470,1,2,3,4,5,6,12,13,18,19, Robert, Adam, Robert, Robert, Adam, Adam,ablation, Adam,0.5273,0.5273,0.0029
The house Brandon and Christopher went to had a bone. Christopher gave it to,882,1,3,4,5,6,7,12,13,15,16, Christopher, Brandon, Christopher, Christopher, Brandon, Brandon,ablation, the,0.1807,0.1406,0.0011
Friends Brandon and Ryan found a computer at the house. Ryan gave it to,948,1,2,3,4,5,6,12,13,15,16, Ryan, Brandon, Ryan, Ryan, Brandon, Brandon,ablation, Brandon,0.4531,0.4531,0.0007
The restaurant John and Jennifer went to had a kiss. Jennifer gave it to,849,1,3,4,5,6,7,12,13,15,16, Jennifer, John, Jennifer, Jennifer, John, John,ablation, John,0.6992,0.6992,0.0001
"Then, Sarah and Joseph were thinking about going to the house. Joseph wanted to give a necklace to",245,1,3,4,5,6,7,14,15,20,21, Joseph, Sarah, Joseph, Joseph, Sarah, Sarah,eval, Sarah,0.5898,0.5898,0.0007
"When Jacob and Amy got a snack at the restaurant, Amy decided to give it to",407,1,2,3,4,5,6,12,13,17,18, Amy, Jacob, Amy, Amy, Jacob, Jacob,ablation, Jacob,0.3145,0.3145,0.0009
"Then, Ryan and Andrew had a long argument. Afterwards Andrew said to",827,1,3,4,5,6,7,12,13,14,15, Andrew, Ryan, Andrew, Andrew, Ryan, Ryan,ablation, Ryan,0.7695,0.7695,0.0002
"Then, Eric and Sarah were thinking about going to the hospital. Sarah wanted to give a bone to",226,1,3,4,5,6,7,14,15,20,21, Sarah, Eric, Sarah, Sarah, Eric, Eric,circuit, the,0.3789,0.0107,0.0014
"Then, Richard and William had a long argument, and afterwards William said to",279,1,3,4,5,6,7,13,14,15,16, William, Richard, William, William, Richard, Richard,ablation, Richard,0.4863,0.4863,0.0021
The office Ryan and Christopher went to had a computer. Christopher gave it to,876,1,3,4,5,6,7,12,13,15,16, Christopher, Ryan, Christopher, Christopher, Ryan, Ryan,ablation, Ryan,0.4082,0.4082,0.0014
"Then, Jacob and James had a lot of fun at the house. James gave a bone to",114,1,3,4,5,6,7,15,16,19,20, James, Jacob, James, James, Jacob, Jacob,ablation, Jacob,0.5586,0.5586,0.0001
"Afterwards, Justin and Jason went to the store. Jason gave a bone to",706,1,4,5,6,7,8,12,13,16,17, Jason, Justin, Jason, Jason, Justin, Justin,ablation, a,0.2363,0.1836,0.0118
"After the lunch, Anthony and David went to the restaurant. David gave a kiss to",657,1,5,6,7,8,9,13,14,17,18, David, Anthony, David, David, Anthony, Anthony,ablation, Anthony,0.2119,0.2119,0.0014
"When Jonathan and Robert got a ring at the house, Robert decided to give it to",432,1,2,3,4,5,6,12,13,17,18, Robert, Jonathan, Robert, Robert, Jonathan, Jonathan,ablation, Jonathan,0.2891,0.2891,0.0047
"While Anthony and Brian were working at the hospital, Brian gave a snack to",551,1,2,3,4,5,6,11,12,15,16, Brian, Anthony, Brian, Brian, Anthony, Anthony,eval, a,0.3164,0.1699,0.0006
"Then, Steven and Daniel had a long argument. Afterwards Daniel said to",784,1,3,4,5,6,7,12,13,14,15, Daniel, Steven, Daniel, Daniel, Steven, Steven,ablation, Steven,0.7383,0.7383,0.0021
"When Anthony and Christopher got a computer at the restaurant, Christopher decided to give the computer to",468,1,2,3,4,5,6,12,13,18,19, Christopher, Anthony, Christopher, Christopher, Anthony, Anthony,eval, the,0.252,0.0869,0.0036
"Then, Brian and Jonathan went to the house. Jonathan gave a drink to",54,1,3,4,5,6,7,11,12,15,16, Jonathan, Brian, Jonathan, Jonathan, Brian, Brian,ablation, Brian,0.3203,0.3203,0.0022
Friends Brian and Sarah found a drink at the restaurant. Sarah gave it to,918,1,2,3,4,5,6,12,13,15,16, Sarah, Brian, Sarah, Sarah, Brian, Brian,ablation, Brian,0.8125,0.8125,0.0004
"While Kyle and Justin were working at the office, Justin gave a drink to",558,1,2,3,4,5,6,11,12,15,16, Justin, Kyle, Justin, Justin, Kyle, Kyle,ablation, Kyle,0.7422,0.7422,0.0002
"Then, Justin and Ryan went to the house. Ryan gave a ring to",48,1,3,4,5,6,7,11,12,15,16, Ryan, Justin, Ryan, Ryan, Justin, Justin,ablation, Justin,0.3438,0.3438,0.0028
"Then, Joseph and David had a lot of fun at the school. David gave a bone to",90,1,3,4,5,6,7,15,16,19,20, David, Joseph, David, David, Joseph, Joseph,circuit, Joseph,0.4629,0.4629,0.0008
"Then, Andrew and Joseph were working at the office. Joseph decided to give a bone to",170,1,3,4,5,6,7,12,13,18,19, Joseph, Andrew, Joseph, Joseph, Andrew, Andrew,ablation, the,0.2324,0.1504,0.0003
"Then, Elizabeth and Andrew were working at the house. Andrew decided to give a snack to",183,1,3,4,5,6,7,12,13,18,19, Andrew, Elizabeth, Andrew, Andrew, Elizabeth, Elizabeth,ablation, the,0.373,0.165,0.0008
"After the lunch, Ryan and Joseph went to the restaurant. Joseph gave a ring to",656,1,5,6,7,8,9,13,14,17,18, Joseph, Ryan, Joseph, Joseph, Ryan, Ryan,eval, Ryan,0.6328,0.6328,0.0003
"After the lunch, Justin and Brandon went to the house. Brandon gave a bone to",690,1,5,6,7,8,9,13,14,17,18, Brandon, Justin, Brandon, Brandon, Justin, Justin,ablation, the,0.332,0.2578,0.0047
"Then, James and Matthew went to the office. Matthew gave a kiss to",41,1,3,4,5,6,7,11,12,15,16, Matthew, James, Matthew, Matthew, James, James,ablation, his,0.2754,0.0479,0.0005
"When Robert and Jessica got a basketball at the office, Jessica decided to give it to",427,1,2,3,4,5,6,12,13,17,18, Jessica, Robert, Jessica, Jessica, Robert, Robert,ablation, Robert,0.4668,0.4668,0.0015
"When Michelle and John got a bone at the store, John decided to give the bone to",450,1,2,3,4,5,6,12,13,18,19, John, Michelle, John, John, Michelle, Michelle,ablation, his,0.3945,0.1855,0.0008
"Then, Justin and Jason were thinking about going to the station. Jason wanted to give a bone to",250,1,3,4,5,6,7,14,15,20,21, Jason, Justin, Jason, Jason, Justin, Justin,ablation, the,0.4531,0.0476,0.0024
"Afterwards, James and Christopher went to the office. Christopher gave a ring to",744,1,4,5,6,7,8,12,13,16,17, Christopher, James, Christopher, Christopher, James, James,ablation, James,0.3516,0.3516,0.0006
Friends William and Robert found a kiss at the restaurant. Robert gave it to,913,1,2,3,4,5,6,12,13,15,16, Robert, William, Robert, Robert, William, William,ablation, William,0.5312,0.5312,0.0002
"Then, Brandon and John had a long argument. Afterwards John said to",802,1,3,4,5,6,7,12,13,14,15, John, Brandon, John, John, Brandon, Brandon,ablation, Brandon,0.5625,0.5625,0.0014
"Afterwards, Steven and Jonathan went to the store. Jonathan gave a ring to",704,1,4,5,6,7,8,12,13,16,17, Jonathan, Steven, Jonathan, Jonathan, Steven, Steven,ablation, Steven,0.5703,0.5703,0.0006
"While Anthony and Ryan were commuting to the store, Ryan gave a snack to",583,1,2,3,4,5,6,11,12,15,16, Ryan, Anthony, Ryan, Ryan, Anthony, Anthony,ablation, Anthony,0.3828,0.3828,0.0001
